Frequency27,Magnitude27,Phase27,Nyquist_Real27,Nyquist_Imag27
0,1957.3142960415,-3.1415926536,-1957.3142960415,-5.8328756292641E-013
39.839050237,7333.595199259,-0.95439394,4239.5762225641,-5983.9461895696
79.6781004741,11090.8144902251,-0.6318056847,8949.8700786564,-6550.2665313526
119.5171507111,8930.7578276634,-0.5189685721,7754.8557866369,-4429.5199632507
159.3562009482,9981.2199757851,-0.4744110145,8878.9133358911,-4559.5668849955
199.1952511852,7350.6052902537,-0.4892986718,6488.1051473596,-3454.8357023036
239.0343014223,7751.3761566948,-0.4103025766,7108.0132610301,-3091.9217007545
278.8733516593,7142.962013598,-0.360066561,6684.9079592327,-2516.7264261918
318.7124018963,7932.2360851049,-0.3820574112,7360.3181723788,-2957.3781819698
358.5514521334,7555.6331856045,-0.366550105,7053.7074124541,-2707.9151712891
398.3905023704,6605.8082293727,-0.3853584316,6121.3630974721,-2483.0658855849
438.2295526075,6591.4402283,-0.2809615246,6332.9850539843,-1827.6719041619
478.0686028445,6790.1998204171,-0.3292641969,6425.4338119633,-2195.5896541185
517.9076530816,6415.9205597158,-0.3186660639,6092.9058109465,-2010.10830741
557.7467033186,6178.5792098243,-0.3298918686,5845.4140138377,-2001.4934571223
597.5857535557,6295.9082783422,-0.3045605674,6006.1631444204,-1887.9791661732
637.4248037927,5977.6074034171,-0.351638957,5611.8343585709,-2058.9087889827
677.2638540297,6309.5338559738,-0.3123448917,6004.2509902911,-1938.8624307227
717.1029042668,5865.0398011089,-0.3231546843,5561.4555941611,-1862.4992732255
756.9419545038,6075.5548538654,-0.2929452008,5816.7212348567,-1754.4574256147
796.7810047409,5855.5901629272,-0.2932008475,5605.6951163897,-1692.3706503761
836.6200549779,5854.665175238,-0.3174111737,5562.2047113951,-1827.2884453961
876.459105215,5777.2826860377,-0.28958882,5536.7245633855,-1649.7503882695
916.298155452,5796.0766290461,-0.2835311746,5564.660088463,-1621.438370596
956.137205689,5609.3723085669,-0.2923397885,5371.3789002113,-1616.5847971824
995.9762559261,5505.1325282256,-0.2957817912,5266.0696823501,-1604.6788631874
1035.8153061631,5571.1204444773,-0.2602443625,5383.5248213186,-1433.5422927558
1075.6543564002,5382.7085309934,-0.2779717309,5176.0877990003,-1477.0464537955
1115.4934066372,5476.2031679659,-0.2833680455,5257.8078632891,-1531.096864857
1155.3324568743,5303.6174553613,-0.2747941118,5104.6314857437,-1439.1301218331
1195.1715071113,5581.1222748227,-0.3031197308,5326.6783416798,-1665.9602908838
1235.0105573484,5184.1543904884,-0.2596973214,5010.3180120596,-1331.2288167149
1274.8496075854,5319.3824037161,-0.3098101846,5066.1343608444,-1621.761941481
1314.6886578224,5177.2923962768,-0.2455188145,5022.032400498,-1258.390688496
1354.5277080595,4922.8789295131,-0.298345758,4705.4060450088,-1447.0283018096
1394.3667582965,5222.6220257232,-0.2350550407,5079.0078793523,-1216.3304588172
1434.2058085336,4955.9567665908,-0.2635953414,4784.7752532934,-1291.2913101962
1474.0448587706,5254.9189038384,-0.3024336632,5016.4215931989,-1565.1476240934
1513.8839090077,4860.6587044263,-0.2979068362,4646.561115158,-1426.6999838847
1553.7229592447,5008.7802182312,-0.3017903936,4782.4127075931,-1488.7605478372
1593.5620094818,4996.8831776014,-0.2495289919,4842.1239267042,-1233.9681393921
1633.4010597188,4997.9724678776,-0.2931610177,4784.7349200799,-1444.3131704138
1673.2401099558,4875.7075601076,-0.2710013278,4697.7604587374,-1305.2091342054
1713.0791601929,4806.9864706066,-0.251807046,4655.3922380622,-1197.6819437503
1752.9182104299,4987.8406821977,-0.2422814649,4842.1615035912,-1196.6731567667
1792.757260667,4606.2364072171,-0.2841426403,4421.5371657153,-1291.287315577
1832.596310904,4688.7370954483,-0.3015196193,4477.2108544323,-1392.4218165434
1872.4353611411,4428.1995579412,-0.2904713993,4242.6977234568,-1268.2536624528
1912.2744113781,4853.9806995681,-0.3205547886,4606.7225829123,-1529.4560065151
1952.1134616151,4710.0476302007,-0.2855158704,4519.3683423224,-1326.5965721248
1991.9525118522,4766.8835866886,-0.3301108727,4509.5024296199,-1545.175383668
2031.7915620892,4602.5088969985,-0.243348515,4466.903244061,-1108.9921348451
2071.6306123263,4595.3257821515,-0.2718885857,4426.518478005,-1234.0799034044
2111.4696625633,4631.5715667791,-0.2644778757,4470.5277408054,-1210.7175132483
2151.3087128004,4389.498499113,-0.2940870972,4201.0448659402,-1272.3675208338
2191.1477630374,4387.923120963,-0.3218212389,4162.6512869694,-1387.8773643855
2230.9868132744,4443.0156433605,-0.2932373307,4253.3572293781,-1284.2664390394
2270.8258635115,4476.6697653139,-0.3268051309,4239.7321183325,-1437.0955961439
2310.6649137485,4582.2270077553,-0.2883983436,4392.9839807218,-1303.2636324721
2350.5039639856,4500.5983131261,-0.3271968791,4261.8278789049,-1446.446786682
2390.3430142226,4456.9193723479,-0.2787537816,4284.8782351778,-1226.3559031985
2430.1820644597,4300.0260433859,-0.281614923,4130.6389539999,-1195.0087051965
2470.0211146967,4305.1994175604,-0.2813676164,4135.9043006087,-1195.423624147
2509.8601649338,4344.3274927911,-0.3141889525,4131.6611150011,-1342.5936821724
2549.6992151708,4255.7175443856,-0.3245258767,4033.5776495114,-1356.9757414754
2589.5382654078,4365.3908152694,-0.3223808142,4140.5024863136,-1383.0676523112
2629.3773156449,4417.7918519907,-0.3191933573,4194.6441142166,-1386.3064605573
2669.2163658819,4475.2811042881,-0.3164299018,4253.0941378577,-1392.5987278892
2709.055416119,4261.1338569543,-0.3101988197,4057.7622926892,-1300.702472863
2748.894466356,4330.4693003435,-0.2849607935,4155.8330579832,-1217.380776664
2788.7335165931,4348.3826929743,-0.3101462227,4140.9168028385,-1327.1172052717
2828.5725668301,4155.9041717868,-0.3038354266,3965.5472165362,-1243.3723330108
2868.4116170671,4346.073115794,-0.3143860283,4133.0565058041,-1343.9477101652
2908.2506673042,4159.8846343915,-0.2882734839,3988.2317713123,-1182.6442870709
2948.0897175412,4348.34478409,-0.3269406328,4118.0098354773,-1396.4588630657
2987.9287677783,4053.7327699613,-0.3254181404,3840.9812305521,-1295.9986716061
