Frequency9,Magnitude9,Phase9,Nyquist_Real9,Nyquist_Imag9
0,6797.2481803752,-3.1415926536,-6797.2481803752,-1.17598894160993E-012
39.839050237,70482.2152164725,-1.8708529001,-20832.7280943261,-67333.0535618951
79.6781004741,22785.751179445,0.7898466093,16040.1268147037,16183.4726983982
119.5171507111,53009.8695181061,0.6025183909,43675.4150653865,30041.7107567602
159.3562009482,64495.4119709042,0.2334212721,62746.3431541104,14918.2635076367
199.1952511852,50769.180384005,0.5319509805,43753.8515483256,25750.9252562062
239.0343014223,51877.0820809289,0.3278753241,49113.5221723142,16706.0942491367
278.8733516593,45250.7120631653,0.0299269065,45230.4498602054,1354.0116937972
318.7124018963,133268.439015446,-0.1999439636,130613.426395312,-26469.0325265258
358.5514521334,56539.2798052895,-0.0338960526,56506.8027275372,-1916.0914414556
398.3905023704,57963.6566001325,-0.2264570871,56483.7277657085,-13014.3760567846
438.2295526075,485490.572270643,-0.9346678087,288422.994061768,-390529.476813367
478.0686028445,110079.316529049,-0.3490354423,103441.866241485,-37646.1981610515
517.9076530816,97828.0586964237,-0.191394826,96041.7041248155,-18609.6785870235
557.7467033186,130273.607091033,-1.1872215548,48753.3155041793,-120806.982132072
597.5857535557,245354.412166251,-0.3939081881,226564.227229933,-94167.0776288064
637.4248037927,114122.324401656,-0.2794463059,109695.326284818,-31477.6161439221
677.2638540297,64881.7781510716,-1.2367533767,21272.4753315849,-61295.4070817054
717.1029042668,188005.364056177,-0.7449433918,138207.683892064,-127454.513561063
756.9419545038,65991.0898520858,-0.7777305354,47019.1645088575,-46303.5863487383
796.7810047409,62731.4185800364,-1.1711570218,24407.9226831487,-57788.2703267468
836.6200549779,85500.149512329,-0.8302822059,57684.170807172,-63109.5238844314
876.459105215,55714.184375695,-0.8261137528,37759.6444216692,-40966.8108814689
916.298155452,42746.2686186564,-1.0400669078,21636.5605198767,-36866.0104932449
956.137205689,56768.1848495261,-1.0095784068,30213.0323550763,-48060.3733549905
995.9762559261,59390.4045358774,-0.7835083978,42074.6441339142,-41915.9214611781
1035.8153061631,36994.6626469771,-1.070750445,17737.6756385675,-32465.0570198885
1075.6543564002,45990.0692749021,-1.2178470719,15897.2383182108,-43155.1188825185
1115.4934066372,48152.1224276446,-1.041497638,24313.3606839506,-41563.0531426531
1155.3324568743,43299.8656564447,-0.8803902015,27575.534693651,-33383.6524698153
1195.1715071113,49801.1175478298,-1.1389296518,20845.0953463492,-45228.6779490001
1235.0105573484,49350.4539773093,-1.0297594049,25416.722101972,-42301.9803952209
1274.8496075854,39082.5473967803,-0.8203906778,26651.7769999927,-28585.4559831436
1314.6886578224,44472.5179217507,-1.0331786175,22773.9861040799,-38198.8273017853
1354.5277080595,48428.0957200898,-1.0434869526,24369.5031664235,-41849.8240198911
1394.3667582965,31958.0342888727,-0.8776032354,20421.0749991649,-24582.42566321
1434.2058085336,36405.9648401955,-0.9588081135,20915.0797876479,-29798.5522034523
1474.0448587706,39868.6958582251,-1.0939702665,18298.1998796074,-35421.5865059937
1513.8839090077,36858.3478939318,-1.0698135929,17702.6125033816,-32328.8620279964
1553.7229592447,32683.2309471261,-1.0251547421,16961.5059080316,-27937.4462411114
