Frequency32,Magnitude32,Phase32,Nyquist_Real32,Nyquist_Imag32
0,1002.155072157,3.1415926536,-1002.155072157,1.22724546887882E-013
39.839050237,6951.1147020321,0.3047569318,6630.8067535071,2085.7606282724
79.6781004741,8865.507577455,0.0912269834,8828.642171479,807.6521614499
119.5171507111,9964.583596454,-0.0173007519,9963.0923539156,-172.3861887385
159.3562009482,7730.8404078581,-0.0639967547,7715.0146547911,-494.4110517871
199.1952511852,8408.5835136741,-0.0849883884,8378.2340788481,-713.7719709128
239.0343014223,8794.9485556374,-0.1077878756,8743.9071513727,-946.1542286972
278.8733516593,7302.4555218871,-0.1457128437,7225.0688737113,-1060.3001552707
318.7124018963,7498.561267385,-0.1358952473,7429.4278507374,-1015.8852747304
358.5514521334,7788.4787356278,-0.1423135378,7709.7411736233,-1104.6682991122
398.3905023704,6786.7362957113,-0.1612558811,6698.6880305392,-1089.6642680367
438.2295526075,6901.590380416,-0.1899181913,6777.4975916079,-1302.8722787744
478.0686028445,7360.2670856552,-0.1670423267,7257.8183609819,-1223.7664038427
517.9076530816,7012.7906123466,-0.1694889063,6912.3050804701,-1182.9077086251
557.7467033186,6581.0513533945,-0.234854336,6400.3899628066,-1531.4193547229
597.5857535557,7588.5481513161,-0.1805762043,7465.1611802403,-1362.8762225078
637.4248037927,6809.0822174781,-0.2143833559,6653.2071268192,-1448.5977951175
677.2638540297,6406.6729035369,-0.2339795176,6232.1003378716,-1485.3898719241
717.1029042668,7207.2398449737,-0.169646385,7103.7765346574,-1216.8258415351
756.9419545038,6340.4677550323,-0.2417933308,6156.0243958409,-1518.1880616102
796.7810047409,6281.365257469,-0.2354010467,6108.1307452,-1465.0216030084
836.6200549779,6901.2078066973,-0.2334621046,6713.9868675886,-1596.5743117901
876.459105215,6290.9944126068,-0.2595124342,6080.341766581,-1614.3279409773
916.298155452,6116.3149489119,-0.2778135036,5881.7994773533,-1677.4216710443
956.137205689,7004.8713323431,-0.2372277073,6808.6874602083,-1646.2069893803
995.9762559261,6251.6160576482,-0.2494380638,6058.1366301162,-1543.2705216809
1035.8153061631,6109.3032029817,-0.2838085924,5864.9062993132,-1710.6898392866
1075.6543564002,6780.0942804929,-0.2116298201,6628.8294534101,-1424.1834607855
1115.4934066372,6027.8505663218,-0.2515952485,5838.0728428698,-1500.6291784621
1155.3324568743,6257.2273119494,-0.2618764181,6043.8926939507,-1619.9551652486
1195.1715071113,6347.9180418997,-0.2328382136,6176.6221732973,-1464.7190839913
1235.0105573484,6146.870223844,-0.2901110483,5890.0055184595,-1758.3653037114
1274.8496075854,5951.3020063936,-0.2514275661,5764.1826507107,-1480.6059369566
1314.6886578224,6421.7487049816,-0.2519673463,6218.9743971865,-1601.0040215666
1354.5277080595,6259.4740553196,-0.2887073226,6000.41144229,-1782.1554288147
1394.3667582965,5780.7043815356,-0.2978417174,5526.1919896203,-1696.3918299029
1434.2058085336,6202.5946802948,-0.2303169378,6038.8095321346,-1415.9661728378
1474.0448587706,5918.6151180027,-0.3290332766,5601.1119651471,-1912.4721354666
1513.8839090077,6009.4843415625,-0.3072457208,5728.061231032,-1817.4753327165
1553.7229592447,5917.5837718587,-0.2420144541,5745.1285942982,-1418.201372141
1593.5620094818,5976.1302012212,-0.357657084,5597.9583106418,-2092.1268924862
1633.4010597188,5855.406338202,-0.3026669714,5589.2485420131,-1745.3034466994
1673.2401099558,5838.9765210482,-0.2938326805,5588.7231060384,-1691.100487075
1713.0791601929,5918.7694470064,-0.3291925763,5600.9532799977,-1913.4142578383
1752.9182104299,5783.0025174529,-0.304490533,5516.9833504888,-1733.7856924362
1792.757260667,5755.7663828743,-0.2657428169,5553.7256525183,-1511.6143789955
1832.596310904,5735.0985170223,-0.3325329495,5420.9213608271,-1872.1556024221
1872.4353611411,5672.0791809332,-0.2995450265,5419.5062827885,-1673.7484534995
1912.2744113781,5540.6938859353,-0.276511994,5330.2224303454,-1512.6194434434
1952.1134616151,5778.1329808847,-0.3289667059,5468.2902502195,-1866.714355262
1991.9525118522,5567.82333569,-0.2969572711,5324.126686283,-1629.2119953717
2031.7915620892,5415.8662477368,-0.3052245153,5165.5422457312,-1627.5074564931
2071.6306123263,5903.6025807035,-0.3238216778,5596.7706120997,-1878.4786787254
2111.4696625633,5404.4540427042,-0.3195192637,5130.9158807822,-1697.5940987288
2151.3087128004,5524.1784716738,-0.3154298913,5251.6326510014,-1713.7392700877
2191.1477630374,5842.7201733064,-0.3395709744,5509.0871400492,-1946.1084006051
2230.9868132744,5429.6780940806,-0.3101463349,5170.6222826101,-1657.1268557096
2270.8258635115,5292.5337831273,-0.3224753309,5019.7240663079,-1677.284753306
2310.6649137485,5854.1783052929,-0.347420731,5504.4146438282,-1993.1941849632
2350.5039639856,5312.6013833917,-0.3090947239,5060.8337076098,-1616.0741451853
2390.3430142226,5226.6334014603,-0.3337279332,4938.2683382461,-1712.0755043912
2430.1820644597,5741.4310669067,-0.3747443321,5342.9828451896,-2101.5625168077
2470.0211146967,5234.7169649954,-0.3177206309,4972.7191969979,-1635.3365070894
2509.8601649338,5285.0130404315,-0.3663517203,4934.3017541736,-1893.1531993716
2549.6992151708,5431.2515709589,-0.3821653411,5039.4372250008,-2025.4792228802
2589.5382654078,5351.9444510785,-0.3079193004,5100.2223980674,-1622.0483647789
2629.3773156449,5095.1735874198,-0.3648641283,4759.7697837286,-1818.0719160265
2669.2163658819,5406.2630018518,-0.3803964539,5019.8098594687,-2007.2838912254
2709.055416119,5119.8706123268,-0.336010687,4833.5548763578,-1688.1416836881
2748.894466356,5033.3257459227,-0.4009284124,4634.1782642735,-1964.3726427293
2788.7335165931,5099.7568004687,-0.3887832354,4719.1669220346,-1933.1277727821
2828.5725668301,5274.5281341636,-0.3511764903,4952.6165451346,-1814.4520922147
2868.4116170671,5011.5750556957,-0.4090256334,4598.164110346,-1993.1812143397
2908.2506673042,4935.7476044756,-0.3786672287,4586.0901762442,-1824.6592313206
2948.0897175412,5087.6646865237,-0.3760527515,4732.146372811,-1868.4546204796
2987.9287677783,4960.7998869976,-0.4087293037,4552.1619021409,-1971.6382871948
3027.7678180153,4944.4071730927,-0.3820509302,4587.9250624321,-1843.3952139566
3067.6068682524,5057.6619795674,-0.391838505,4674.3342867727,-1931.4615385928
3107.4459184894,5065.2462823065,-0.4118525532,4641.6944631915,-2027.6568769882
3147.2849687264,4951.5109680311,-0.3711838404,4614.3061263054,-1796.0066367564
3187.1240189635,5098.4201430964,-0.3847954196,4725.5994208586,-1913.7915427528
3226.9630692005,5224.6267705434,-0.4034918843,4805.0661355034,-2051.3567034812
3266.8021194376,4921.3143227617,-0.3811300553,4568.1848330546,-1830.5796880958
3306.6411696746,5114.0848555021,-0.4014605239,4707.4703971986,-1998.3959489486
3346.4802199117,5140.6338481498,-0.3768813707,4779.8481317204,-1891.8689696786
3386.3192701487,5013.8662067392,-0.3995894842,4618.8777316485,-1950.5955088546
3426.1583203858,5156.8393195401,-0.3746986624,4799.0472429522,-1887.3625320715
3465.9973706228,5080.002697979,-0.3789963863,4719.5075641484,-1879.5413704998
3505.8364208598,4961.7511047455,-0.3920333231,4585.3234041461,-1895.7276452153
3545.6754710969,5137.6391465841,-0.38332111,4764.7885934326,-1921.4904788752
3585.5145213339,4941.6597744928,-0.3732920997,4601.3366669287,-1802.138231218
3625.353571571,4945.086018845,-0.4000903252,4554.5518854212,-1926.118598836
3665.192621808,5084.5816674958,-0.3900283583,4702.7208286428,-1933.2324074678
3705.0316720451,4874.3655210135,-0.3636955441,4555.5264037083,-1733.9603275629
3744.8707222821,4851.0619717248,-0.3923043819,4482.5292464223,-1854.6519372873
3784.7097725191,4928.0761517177,-0.3877279392,4562.2674392988,-1863.236530729
3824.5488227562,4726.8733469073,-0.3751581008,4398.1178984147,-1732.0192231458
3864.3878729932,4773.9659502638,-0.3871746547,4420.594748783,-1802.5240529074
3904.2269232303,4796.9833658748,-0.4126389176,4394.3520857329,-1923.7253335896
3944.0659734673,4711.8630977905,-0.3730573025,4387.7690081576,-1717.305151501
3983.9050237044,4693.8495300165,-0.3874635312,4345.8964338823,-1773.5296998937
4023.7440739414,4812.2815033136,-0.4178143682,4398.3192933796,-1952.6496512737
4063.5831241785,4654.0699483058,-0.3686939781,4341.3109932253,-1677.3150997426
4103.4221744155,4735.6337557587,-0.3864685721,4386.3613397361,-1784.9541355313
4143.2612246525,4657.2232432794,-0.4007132035,4288.2921071918,-1816.6670419037
4183.1002748896,4621.7039235044,-0.4084190022,4241.5682065793,-1835.5506818042
4222.9393251266,4728.0923152541,-0.3749227575,4399.6596895076,-1731.4304947315
4262.7783753637,4699.1081138258,-0.4268294788,4277.5176513535,-1945.3688102215
4302.6174256007,4805.0761881654,-0.4107760708,4405.3476547036,-1918.7676293056
4342.4564758378,4751.3645886027,-0.4123879262,4353.0403966139,-1904.3384046109
4382.2955260748,4746.2920619037,-0.4041056927,4363.9991363523,-1866.2261049527
4422.1345763118,4694.6971436303,-0.421487811,4283.8231624283,-1920.6874767784
4461.9736265489,4911.7657868772,-0.4012577638,4521.62653539,-1918.4203448657
4501.8126767859,4703.3912643799,-0.4139468406,4306.1448896578,-1891.825989651
4541.651727023,4817.4171870253,-0.4504638232,4336.8569803112,-2097.4222002671
4581.49077726,4757.185491886,-0.3881262617,4403.3451283122,-1800.3792614835
4621.3298274971,4730.7967394873,-0.4191311628,4321.3125656343,-1925.2780319827
4661.1688777341,4760.771483791,-0.4037690205,4377.9422795791,-1870.4455398518
4701.0079279711,4748.0070634297,-0.4230655704,4329.3972801732,-1949.3307222755
4740.8469782082,4665.211967814,-0.408366215,4281.5955086757,-1852.6042763425
4780.6860284452,4642.0071826231,-0.4080468519,4260.8873266853,-1842.0287383256
4820.5250786823,4683.3010769074,-0.4166003442,4282.7378967546,-1895.1161137683
4860.3641289193,4686.2800516208,-0.4292550672,4261.1221591504,-1950.3996172622
4900.2031791564,4633.109266513,-0.39618566,4274.2270662012,-1787.9274207869
4940.0422293934,4585.0093155853,-0.4114824379,4202.2935523698,-1833.8591340981
4979.8812796305,4529.7105127114,-0.420434995,4135.2247288713,-1848.8357879216
5019.7203298675,4550.5301745926,-0.4033290261,4185.3933980929,-1786.0030719677
5059.5593801045,4500.3616140093,-0.4189571617,4111.1418631592,-1830.7832307044
5099.3984303416,4556.6626050892,-0.4547272321,4093.6184971678,-2001.3649582881
5139.2374805786,4560.4043386105,-0.3879685735,4221.4726973181,-1725.2408520016
5179.0765308157,4588.1899003671,-0.4143204457,4199.9836054781,-1847.0582761641
5218.9155810527,4561.3889035465,-0.4427599335,4121.5462786874,-1954.258171797
5258.7546312898,4512.5551660825,-0.3603591694,4222.7148181557,-1591.1736836269
5298.5936815268,4491.993404,-0.392088428,4151.1097129884,-1716.4768837108
5338.4327317638,4483.614862871,-0.4534068746,4030.5904463883,-1963.9610210085
5378.2717820009,4328.0862764361,-0.3701099716,4035.0210484786,-1565.546535434
5418.1108322379,4473.3703463874,-0.3928553026,4132.5878218521,-1712.530335678
5457.949882475,4458.9843302611,-0.4486878078,4017.6210648912,-1934.2342765179
5497.788932712,4264.2452535484,-0.3965262056,3933.3747597422,-1646.9215469576
5537.6279829491,4303.8796356412,-0.3810988075,3995.1042679097,-1600.7878705865
5577.4670331861,4439.2631196202,-0.4461282299,4004.7677361106,-1915.4353095389
5617.3060834231,4260.532105279,-0.4116079462,3904.6869043614,-1704.5685668291
5657.1451336602,4202.8587268877,-0.4246201981,3829.6249817281,-1731.4716219159
5696.9841838972,4418.0731332392,-0.4291074949,4017.5193432292,-1838.1807684308
5736.8232341343,4264.5723049735,-0.43518246,3867.0848968739,-1797.840745093
5776.6622843713,4204.4879471384,-0.4363798015,3810.4757807764,-1777.0743433376
5816.5013346084,4498.7828442739,-0.4165131467,4114.1602489397,-1820.091350998
5856.3403848454,4347.916464423,-0.4317207,3948.9824971753,-1819.3171297504
5896.1794350825,4217.7477489595,-0.4580672486,3782.9353450491,-1865.1531435866
5936.0184853195,4457.4960012369,-0.3964582634,4111.747789684,-1721.278802249
5975.8575355565,4199.6972231368,-0.4475864114,3786.0031354341,-1817.5909948353
6015.6965857936,4380.8100237745,-0.4740379514,3897.748142626,-1999.7639563355
6055.5356360306,4248.8967233333,-0.4200304141,3879.5679114003,-1732.6500472931
6095.3746862677,4317.0398480978,-0.482120031,3824.9575024258,-2001.6326223114
6135.2137365047,4314.4061820088,-0.4553641775,3874.7721886948,-1897.430153938
6175.0527867418,4305.4986183301,-0.4262813513,3920.1980720347,-1780.2711671143
6214.8918369788,4275.6607809623,-0.4849388222,3782.6919253453,-1993.1173853505
6254.7308872158,4415.3687209204,-0.4634479777,3949.6199582038,-1973.8244925628
6294.5699374529,4201.0597268781,-0.4510763028,3780.8631216355,-1831.3866015274
6334.4089876899,4426.0497436856,-0.4986713512,3887.0399851717,-2116.7986411693
6374.248037927,4320.9280241819,-0.4619066782,3868.1137926366,-1925.646560866
6414.087088164,4376.7792541886,-0.474364703,3893.5088038758,-1999.1962970248
6453.9261384011,4368.5186238341,-0.4846457671,3865.4401935443,-2035.2707625565
6493.7651886381,4249.3719598963,-0.4722599058,3784.2464646738,-1933.039251582
6533.6042388752,4327.3462177031,-0.4483132614,3899.7156758181,-1875.6713293239
6573.4432891122,4375.9522742996,-0.4851475063,3870.9943849583,-2040.676549228
6613.2823393492,4277.1190567591,-0.4587919266,3834.8143283483,-1894.187554807
6653.1213895863,4312.4597589299,-0.4684574923,3847.8603905861,-1947.1208454917
6692.9604398233,4283.1773808331,-0.4628931048,3832.4344718137,-1912.6041134888
6732.7994900604,4160.9270599005,-0.4671247243,3715.153520528,-1873.7524694369
6772.6385402974,4334.1695593491,-0.4486157504,3905.2962881442,-1879.8102752658
6812.4775905345,4166.0889053091,-0.4604668174,3732.1705703431,-1851.2697266483
6852.3166407715,4184.1078099751,-0.4781076255,3714.9320571771,-1925.1072635187
