V_30,I_30
0.0676756352,-2.32857567685416E-005
0.0673533702,-0.000023608
0.0667088404,-2.32857567685416E-005
0.0644529859,-2.13521672526165E-005
0.0634861912,-2.00631075734124E-005
0.0615526017,-0.000017485
0.0657420456,-0.000022319
0.0563963628,-1.39400740761239E-005
0.0657420456,-0.000022319
0.0631639262,-2.07076374132067E-005
0.0683201649,-2.52193462810174E-005
0.0696092246,-2.65084059540892E-005
0.0683201649,-2.48970813625106E-005
0.0663865754,-2.29634918494605E-005
0.0689646948,-2.58638761177443E-005
0.0702537544,-2.71529357900526E-005
0.0551073032,-0.000011362
0.0699314895,-2.68306708721186E-005
0.0699314896,-2.58638761177443E-005
0.0660643105,-2.29634918494605E-005
0.0599412771,-1.61959285265524E-005
0.064130721,-2.10299023329596E-005
0.0631639262,-2.00631075734124E-005
0.0679979,-2.48970813625106E-005
0.0670311053,-2.39302866064163E-005
0.0676756352,-2.32857567685416E-005
0.0612303367,-0.000018774
0.0650975158,-2.10299023329596E-005
0.0573631576,-1.42623389979043E-005
0.0631639262,-1.97408426533709E-005
0.0618748665,-0.000018774
0.0670311053,-2.32857567685416E-005
0.0631639262,-1.97408426533709E-005
0.0660643105,-2.32857567685416E-005
0.0686424299,-2.52193462810174E-005
0.0689646947,-2.61861410359645E-005
0.0692869597,-2.55416111994286E-005
0.0660643105,-2.32857567685416E-005
0.0676756351,-2.45748164439082E-005
0.0689646948,-2.48970813625106E-005
0.0676756351,-2.39302866064163E-005
0.0676756351,-2.39302866064163E-005
0.0679979,-2.48970813625106E-005
0.0576854226,-1.45846039195878E-005
0.064130721,-2.13521672526165E-005
0.0673533701,-2.48970813625106E-005
0.0663865754,-2.32857567685416E-005
0.0660643105,-0.000022319
0.0628416613,-2.00631075734124E-005
0.0631639262,-1.97408426533709E-005
0.0551073032,-0.000011362
0.0663865754,-2.29634918494605E-005
0.0731541387,-2.9731055130096E-005
0.0657420456,-2.26412269302836E-005
0.0609080718,-1.71627232895702E-005
0.060263542,-1.68404583686609E-005
0.0644529859,-2.13521672526165E-005
0.064130721,-2.10299023329596E-005
0.0667088403,-0.000023608
0.0705760194,-2.71529357900526E-005
0.0667088404,-2.29634918494605E-005
0.0696092247,-2.55416111994286E-005
0.0686424299,-2.42525515252101E-005
0.0702537545,-2.58638761177443E-005
0.0712205493,-2.61861410359645E-005
0.0638084562,-0.000018774
0.0692869598,-2.39302866064163E-005
0.0676756352,-0.000022319
0.0699314897,-0.000023608
0.0634861913,-1.71627232895702E-005
0.0522069191,-5.5611860756677E-006
0.0634861913,-1.78072531310991E-005
0.0596190124,-1.20064845434029E-005
0.0605858071,-1.3295544232272E-005
0.065097516,-1.71627232895702E-005
0.06928696,-2.10299023329596E-005
0.0699314898,-2.1996697091642E-005
0.0705760197,-2.16744321721772E-005
0.0725096093,-2.32857567685416E-005
0.0734764041,-2.32857567685416E-005
0.0689646952,-0.000018774
0.0747654638,-2.48970813625106E-005
0.0763767885,-2.48970813625106E-005
0.0750877288,-2.32857567685416E-005
0.066386576,-1.42623389979043E-005
0.0731541394,-1.94185777332332E-005
0.0770213185,-2.32857567685416E-005
0.0779881133,-2.39302866064163E-005
0.0718650799,-1.6518193447655E-005
0.0731541396,-1.78072531310991E-005
0.0728318747,-1.6518193447655E-005
0.0747654643,-1.78072531310991E-005
0.0667088413,-9.10610023775493E-006
0.0750877293,-1.71627232895702E-005
0.0715428152,-1.29732793102004E-005
0.072187345,-1.36178091542465E-005
0.0696092257,-9.75063008413668E-006
0.0596190131,1.52864228415468E-006
0.0773435839,-1.6518193447655E-005
0.0808884982,-1.8451782972242E-005
0.0783103789,-1.49068688411744E-005
0.0776658491,-1.39400740761239E-005
0.082499823,-0.000017485
0.0915232408,-2.55416111994286E-005
0.0818552933,-1.5551398684057E-005
0.083144353,-1.5873663605353E-005
0.0860447374,-1.78072531310991E-005
0.079599439,-1.0717424852978E-005
0.0847556779,-1.42623389979043E-005
0.084433413,-1.36178091542465E-005
0.0863670027,-1.39400740761239E-005
0.0866892677,-1.29732793102004E-005
0.0844334133,-9.75063008413668E-006
0.077343585,-2.01627190171589E-006
0.0886228574,-0.000012651
0.0886228575,-1.20064845434029E-005
0.0963572158,-1.78072531310991E-005
0.0899119174,-1.03951599301283E-005
0.0899119175,-9.42836516099459E-006
0.0941013616,-0.000012651
0.0912009774,-9.10610023775493E-006
0.0928123021,-9.42836516099459E-006
0.0921677724,-7.17251069626582E-006
0.094101362,-8.13930546745016E-006
0.0786326457,8.61847069186881E-006
0.095068157,-0.000006528
0.095712687,-5.88345099998327E-006
