V_26,I_26
-0.0754099918,2.44094523197322E-005
-0.0702537529,1.95754783262712E-005
-0.0737986671,2.31203925859078E-005
-0.0741209321,2.37649224526165E-005
-0.0721873425,2.21535977866072E-005
-0.0737986671,2.31203925859078E-005
-0.0799217009,2.95656912713503E-005
-0.0731541373,2.34426575192113E-005
-0.0718650776,2.15090679209147E-005
-0.069931488,0.00002022
-0.065097514,1.44192394250143E-005
-0.0683201633,1.76418887352719E-005
-0.0731541373,2.2798127652706E-005
-0.069931488,1.95754783262712E-005
-0.0705760178,0.00002022
-0.0715428126,2.08645380556281E-005
-0.0731541372,2.21535977866072E-005
-0.0728318723,2.21535977866072E-005
-0.0715428127,2.18313328537102E-005
-0.112148195,6.17921853200224E-005
-0.0650975138,1.21633849138207E-005
-0.069609223,1.89309484622003E-005
-0.0718650776,2.18313328537102E-005
-0.0754099918,0.000025054
-0.0715428126,2.08645380556281E-005
-0.0712205476,0.00002022
-0.0728318723,2.21535977866072E-005
-0.0721873425,2.15090679209147E-005
-0.0779881113,2.76321016614277E-005
-0.0754099919,2.5698512055186E-005
-0.0728318724,2.24758627196058E-005
-0.0715428126,2.08645380556281E-005
-0.0721873425,2.15090679209147E-005
-0.0741209321,2.40871873861234E-005
-0.0750877269,2.44094523197322E-005
-0.0763767866,2.5698512055186E-005
-0.0754099918,0.000025054
-0.0708982828,2.11868029882207E-005
-0.075087727,2.5698512055186E-005
-0.0702537529,1.95754783262712E-005
-0.0750877269,0.000025054
-0.0692869581,1.89309484622003E-005
-0.074443197,2.37649224526165E-005
-0.0692869581,1.89309484622003E-005
-0.0634861893,1.31301797037297E-005
-0.0721873425,2.15090679209147E-005
-0.0032226491,-4.71333605174016E-005
-0.0792771711,2.92434263361072E-005
-0.0747654619,2.34426575192113E-005
-0.0776658463,2.69875717922719E-005
-0.074443197,2.37649224526165E-005
-0.0757322567,0.000025054
-0.0776658464,2.76321016614277E-005
-0.0766990516,2.66653068578473E-005
-0.0760545217,2.5698512055186E-005
-0.0737986672,2.40871873861234E-005
-0.0689646932,1.98977432584584E-005
-0.0776658465,2.85988964659283E-005
-0.0760545217,2.53762471211697E-005
-0.0725096074,2.24758627196058E-005
-0.0679978985,1.89309484622003E-005
-0.0692869582,2.08645380556281E-005
-0.0712205477,2.11868029882207E-005
-0.0705760179,2.11868029882207E-005
-0.0863669997,0.0000373
-0.065419779,1.63528290099593E-005
-0.0725096076,2.40871873861234E-005
-0.0689646933,2.08645380556281E-005
-0.070576018,2.2798127652706E-005
-0.075409992,2.76321016614277E-005
-0.0760545219,2.89211614009666E-005
-0.070898283,2.44094523197322E-005
-0.0696092233,2.31203925859078E-005
-0.1253610584,8.01612874019649E-005
-0.0795994363,3.40774003755335E-005
-0.0676756337,2.18313328537102E-005
-0.0673533689,2.24758627196058E-005
-0.0689646935,2.44094523197322E-005
-0.0673533689,2.31203925859078E-005
-0.0638084547,2.05422731231369E-005
-0.0712205482,2.7954366596159E-005
-0.0689646937,2.66653068578473E-005
-0.067353369,0.000025054
-0.0644529847,2.40871873861234E-005
-0.0647752496,2.40871873861234E-005
-0.063163925,2.2798127652706E-005
-0.0605858056,2.05422731231369E-005
-0.0660643095,2.69875717922719E-005
-0.06348619,2.47317172534428E-005
-0.06413072,0.000026343
-0.0638084551,2.66653068578473E-005
-0.0518846526,1.47415043555868E-005
-0.064452985,2.89211614009666E-005
-0.0615526007,2.69875717922719E-005
-0.0634861903,2.95656912713503E-005
-0.0589744812,2.53762471211697E-005
-0.060263541,2.73098367267987E-005
-0.060585806,2.89211614009666E-005
-0.0615526009,3.08547510133479E-005
-0.0592967464,0.000029888
-0.0441502945,1.3774709564171E-005
-0.0496287984,1.95754783262712E-005
-0.0586522167,3.14992808849625E-005
-0.0560740972,2.89211614009666E-005
-0.0589744816,3.2466075693155E-005
-0.0547850376,3.0210221142144E-005
-0.0518846532,2.85988964659283E-005
-0.0657420456,4.27785537050289E-005
-0.0476952092,2.60207769893044E-005
-0.0505955936,2.95656912713503E-005
-0.0512401236,3.18215458209239E-005
-0.0454393548,2.73098367267987E-005
-0.0457616197,2.73098367267987E-005
-0.0515623886,3.53664601232912E-005
-0.0470506796,3.18215458209239E-005
-0.0431835004,2.89211614009666E-005
-0.0422167056,2.92434263361072E-005
-0.0435057654,0.000031177
-0.0480174746,3.76223146858428E-005
-0.0422167058,3.2466075693155E-005
-0.0438280305,3.47219302492061E-005
-0.0480174748,4.11672290086767E-005
-0.0431835007,3.69777848103112E-005
-0.0415721761,3.66555198727005E-005
-0.0399608515,3.69777848103112E-005
-0.037704997,0.000036011
-0.0386717919,3.89113744381486E-005
0,-8.26823472674768E-008
-0.033193288,3.69777848103112E-005
-0.0338378179,0.0000373
-0.028359314,3.34328705022732E-005
-0.0280370491,3.37551354388519E-005
-0.0299706388,0.0000373
-0.0261034596,3.47219302492061E-005
-0.029326109,3.98781692534664E-005
-0.0254589298,0.0000373
-0.0273925194,4.11672290086767E-005
-0.0254589298,4.02004341921132E-005
-0.0222362805,3.92336393764841E-005
-0.0206249558,3.85891094999168E-005
-0.0212694857,0.000040845
-0.0209472208,4.24562887655503E-005
-0.0161132468,3.95559043149234E-005
-0.0157909819,4.05226991308638E-005
-0.0180468365,4.47121433440893E-005
-0.0199804261,4.76125278097299E-005
-0.0177245716,4.72902628686846E-005
-0.0090234183,4.11672290086767E-005
-0.0080566234,4.14894939477391E-005
-0.0048339741,3.98781692534664E-005
-0.010634743,0.000046968
-0.0061230338,4.50344082842978E-005
-0.0035449143,4.37453485240898E-005
0,0.000042134
-0.0309374348,7.66163729377851E-005
0.0006445299,4.56789381650284E-005
0.0041894442,4.34230835842986E-005
0.0064452988,4.31008186446117E-005
0.0067675638,4.47121433440893E-005
0.0090234184,4.43898784039851E-005
0.0048339741,5.01906473418672E-005
0.0080566236,4.85793226334945E-005
0.011279273,4.82570576921348E-005
0.0135351276,4.82570576921348E-005
0.0119238029,5.08351772259517E-005
0.0190136317,4.6323468046177E-005
0.0161132472,5.11574421681517E-005
0.0157909823,5.37355617095429E-005
0.0219140163,4.98683823999826E-005
0.0209472215,5.27687668807307E-005
0.0228808112,5.34132967665E-005
0.0331932894,4.50344082842978E-005
0.0293261101,4.95461174582031E-005
0.0228808113,5.85695358678741E-005
0.0273925207,5.76027410343015E-005
0.0296483753,5.76027410343015E-005
0.0328710248,5.63136812576889E-005
0.0312597002,6.01808605926188E-005
0.0373827342,5.69582111457833E-005
0.0377049993,5.85695358678741E-005
-0.0070898291,0.0001049757
0.040283119,5.92140657574532E-005
0.0554295715,4.76125278097299E-005
0.0486620078,5.63136812576889E-005
0.0515623924,5.59914163138005E-005
0.0596190161,4.98683823999826E-005
0.0541405122,5.76027410343015E-005
0.0531737175,6.11476554287416E-005
0.0592967516,5.76027410343015E-005
0.0567186322,0.000062759
0.0576854272,0.000064048
0.0618748717,0.000062759
0.0599412821,6.72706894131522E-005
0.0663865813,6.34035100500901E-005
0.0670311113,6.50148347828269E-005
0.0702537609,0.000064048
0.0689647014,6.85597492042683E-005
0.0712205562,0.000068882
0.0824998296,6.05031255378866E-005
0.0841111546,6.24367152117295E-005
0.0795994456,0.000068882
0.0857224798,6.5337099729695E-005
0.0902341892,0.000062759
0.0899119245,6.56593646766701E-005
0.0928123094,6.59816296237523E-005
0.0979685487,0.000062759
0.097968549,6.5337099729695E-005
0.1266501292,3.92336393764841E-005
0.1069919678,5.95363307024021E-005
0.0982908148,7.33937234362814E-005
0.098935345,7.53273131358847E-005
0.1021579949,7.53273131358847E-005
0.1082810293,7.2104663638707E-005
0.1092478245,7.43605182855964E-005
0.1102146197,7.59718430366182E-005
0.110536885,0.00007855
0.1182712442,0.000073716
0.1150485949,7.91944925467934E-005
0.1198825697,7.82276976926007E-005
0.1176267154,8.33839369262867E-005
0.1211716303,8.24171420678444E-005
0.1292282546,7.79054327414205E-005
0.1330954344,7.66163729377851E-005
0.1334176997,7.91944925467934E-005
0.1343844949,8.04835523539064E-005
0.1243942819,9.43409453909725E-005
0.1414743249,8.01612874019649E-005
0.1414743253,8.20948771152488E-005
0.1492086847,7.82276976926007E-005
0.1579098388,7.2104663638707E-005
0.1511422753,8.14503472103847E-005
0.1482418914,8.78956462787069E-005
0.1553317208,8.37062018793193E-005
0.158554371,8.37062018793193E-005
0.2230073601,2.18313328537102E-005
0.1514645432,9.78858599215675E-005
0.1614547573,9.01515009629846E-005
0.1653219373,0.000089507
0.1653219379,9.24073556526594E-005
0.1727340326,8.85401761879506E-005
0.1682223238,9.59522701759432E-005
