Frequency28,Magnitude28,Phase28,Nyquist_Real28,Nyquist_Imag28
0,2203.7225647315,-3.1415926536,-2203.7225647315,-6.13462876073625E-013
39.839050237,11876.1162749135,-1.1319060974,5046.5790860303,-10750.5431166852
79.6781004741,10830.430591802,-0.6257578856,8778.2746445513,-6343.5101535877
119.5171507111,9554.428247364,-0.7316528267,7109.1745574562,-6383.3170253126
159.3562009482,7675.8044361796,-0.5666377737,6476.157398714,-4120.359097161
199.1952511852,7454.8917593383,-0.4855759606,6593.1531241711,-3479.3308300134
239.0343014223,6430.0785969895,-0.5547552328,5465.7558082735,-3386.949100265
278.8733516593,6380.0722957207,-0.4715683253,5683.7315483071,-2898.3647433339
318.7124018963,6617.3539630606,-0.4158327143,6053.4247870028,-2673.0921833213
358.5514521334,5424.3384249112,-0.4003263472,4995.4569202102,-2113.9672434295
398.3905023704,5687.491729894,-0.4150373864,5204.6307689335,-2293.3339784435
438.2295526075,5575.1241544262,-0.4234245113,5082.7693788164,-2290.7345501024
478.0686028445,5424.5085740511,-0.3175413357,5153.3154852136,-1693.703864261
517.9076530816,5359.1821828475,-0.3947551477,4947.0115426561,-2061.0459640138
557.7467033186,5288.5749587237,-0.3536923765,4961.2132497187,-1831.771870309
597.5857535557,5695.2992264057,-0.3695267514,5310.8572747727,-2056.9949648193
637.4248037927,5078.0448720185,-0.4005215514,4676.157061949,-1979.9229414848
677.2638540297,5022.5085694434,-0.3678054326,4686.5966133004,-1805.9359109153
717.1029042668,5225.2358997502,-0.4437451478,4719.1724070629,-2243.3238732859
756.9419545038,4818.6504315071,-0.4369759208,4365.8688296842,-2039.2599988859
796.7810047409,4664.6128609386,-0.3784826152,4334.4813944661,-1723.6253025124
836.6200549779,4646.8674758544,-0.3926370449,4293.2560617174,-1778.012858975
876.459105215,4596.7315469126,-0.3642493758,4295.1465761477,-1637.5765031862
916.298155452,4501.8019576565,-0.3602262686,4212.8632128207,-1586.8221122802
956.137205689,4475.5301140303,-0.3368222066,4224.0485404116,-1479.1158608572
995.9762559261,4761.5828462759,-0.3432882021,4483.7587618494,-1602.6785602509
1035.8153061631,4494.8749908089,-0.3187590952,4268.445817338,-1408.6417172048
1075.6543564002,4499.1057178028,-0.3115457337,4282.5227860189,-1379.1123403097
1115.4934066372,4622.9126039585,-0.3354008243,4365.3167717912,-1521.6209862371
1155.3324568743,4489.7553198652,-0.3421836289,4229.4581921468,-1506.5145977189
1195.1715071113,4510.2941026573,-0.311496879,4293.2401105918,-1382.3321761684
1235.0105573484,4413.4927144639,-0.2954361899,4222.2791732674,-1285.0200479441
1274.8496075854,4414.2920140825,-0.3432060544,4156.8533484925,-1485.4441169965
