Frequency34,Magnitude34,Phase34,Nyquist_Real34,Nyquist_Imag34
0,2074.7678045704,-3.1415926536,-2074.7678045704,-5.97670994208724E-013
39.839050237,10378.8800987325,-1.3119563546,2656.571298907,-10033.1341582622
79.6781004741,18166.4935036137,-0.7141225471,13727.8418795363,-11898.2285886299
119.5171507111,12183.8342873204,-0.6914489366,9385.4866063862,-7769.0706717232
159.3562009482,12249.0330495657,-0.5097511911,10691.7637897106,-5977.0392097079
199.1952511852,12074.6897888947,-0.4635537311,10800.437760144,-5398.9515359275
239.0343014223,12782.5701227341,-0.3447759741,12030.331130936,-4320.3277448182
278.8733516593,11556.933485937,-0.3648946345,10796.0407734727,-4124.1017465487
318.7124018963,12854.7829802667,-0.3682728339,11992.8765249737,-4627.7811234421
358.5514521334,11689.3810833896,-0.5196326425,10146.40211164,-5804.4943191991
398.3905023704,11752.8760470703,-0.4204419735,10729.301992224,-4797.1005969707
438.2295526075,10474.3057495282,-0.4467036945,9446.5248367942,-4524.8480021356
478.0686028445,10242.1753721197,-0.3522433765,9613.3170788205,-3533.59464219
517.9076530816,9471.9889945416,-0.3771150713,8806.4003664667,-3487.9633166381
557.7467033186,9983.5198689145,-0.2617815191,9643.3858484219,-2583.7527651591
597.5857535557,10193.1249408709,-0.3850639277,9446.7274770169,-3828.7251187803
637.4248037927,9656.3969265484,-0.2434384997,9371.677038331,-2327.5891158608
677.2638540297,10540.2611785203,-0.3315993605,9966.0580227537,-3431.4418541669
717.1029042668,9227.3548464217,-0.3099891795,8787.5502394567,-2814.7892018421
756.9419545038,10228.456692657,-0.319691613,9710.2051477385,-3214.53609443
796.7810047409,9305.2647611499,-0.3365877942,8783.1193850786,-3073.2338249073
836.6200549779,9580.5661942067,-0.3303437857,9062.5534709504,-3107.631443357
876.459105215,8947.8442458393,-0.3806978886,8307.2282428126,-3324.736917354
916.298155452,8876.8242080548,-0.3144003686,8441.6998938623,-2745.1249375342
956.137205689,8394.6410931024,-0.3370814146,7922.2239305714,-2776.3946181847
995.9762559261,8094.8876373611,-0.2418103504,7859.3754485019,-1938.4074445243
1035.8153061631,9131.4007043205,-0.2414396685,8866.542193126,-2183.3250697917
1075.6543564002,9127.9528383203,-0.2717542952,8792.9705506645,-2450.1412028181
1115.4934066372,9584.6526376806,-0.2795674138,9212.5275023991,-2644.7879314868
1155.3324568743,8986.7423146679,-0.3415836215,8467.536568893,-3010.3757049085
1195.1715071113,8674.4681783559,-0.334501779,8193.6770366397,-2847.8157939993
1235.0105573484,8503.7672139175,-0.348602511,7992.274045953,-2904.756857791
1274.8496075854,7886.7579276098,-0.2874285853,7563.2116367797,-2235.7952379402
1314.6886578224,7939.4721476408,-0.283253105,7623.0948268041,-2218.9284000878
1354.5277080595,8047.9851117462,-0.3067880221,7672.212592965,-2430.4769670246
1394.3667582965,8565.8128665314,-0.2809631285,8229.9372929631,-2375.1383577239
1434.2058085336,8452.3003262955,-0.2922331455,8093.9474204661,-2435.0351045982
1474.0448587706,8328.1746462885,-0.2560454138,8056.6683752893,-2109.1675205388
1513.8839090077,8484.1386731103,-0.2924414348,8123.9266357499,-2445.8996384804
1553.7229592447,7863.8393982289,-0.35465912,7374.4327315402,-2730.8811708177
1593.5620094818,8217.2673983099,-0.328127327,7778.8557294294,-2648.1856120842
1633.4010597188,8103.6965848511,-0.3473160802,7619.8219330355,-2758.298759772
1673.2401099558,7354.9454768954,-0.3129955249,6997.6090384854,-2264.6612798855
1713.0791601929,7775.7173849922,-0.3436986665,7320.9527056029,-2620.1970028216
1752.9182104299,7344.622631456,-0.2909311429,7035.9810070096,-2106.7636002873
1792.757260667,7697.9067706825,-0.2442663405,7469.3945437272,-1861.6964844618
1832.596310904,7488.6841867758,-0.2906020945,7174.6951283249,-2145.7261392957
1872.4353611411,8281.4625702598,-0.2773664604,7964.9442285095,-2267.6608519239
1912.2744113781,8146.2235554513,-0.3860934802,7546.5573294181,-3067.6425295648
1952.1134616151,7932.9647188588,-0.2916089831,7598.055122303,-2280.6770023623
1991.9525118522,7628.0643075327,-0.3855990626,7067.9605879445,-2869.0239119111
2031.7915620892,6683.1975247463,-0.3553041928,6265.7697586726,-2324.9211784659
