V_24,I_24
0.0389940563,-1.3295544232272E-005
0.0386717913,-1.42623389979043E-005
0.0364159369,-0.000011362
0.0396385861,-1.49068688411744E-005
0.0386717913,-1.39400740761239E-005
0.0454393547,-1.97408426533709E-005
0.0389940563,-1.39400740761239E-005
0.039960851,-1.52291337626641E-005
0.0364159369,-1.23287494657659E-005
0.0422167055,-1.71627232895702E-005
0.0380272615,-1.29732793102004E-005
0.0296483735,-4.27212637742447E-006
0.0393163212,-1.49068688411744E-005
0.0409276458,-1.5551398684057E-005
0.039960851,-1.45846039195878E-005
0.0415721756,-1.6518193447655E-005
0.0415721756,-1.68404583686609E-005
0.0393163212,-1.42623389979043E-005
0.0435057652,-1.81295180517188E-005
0.0409276458,-1.5873663605353E-005
0.0406053809,-1.49068688411744E-005
0.0228808101,2.81770199107327E-006
0.0525291828,-0.000028442
0.0335155526,-9.10610023775493E-006
0.0389940563,-1.29732793102004E-005
0.0364159369,-0.000011362
0.039960851,-1.45846039195878E-005
0.0344823473,-9.42836516099459E-006
0.0328710227,-0.000007817
0.0380272615,-1.29732793102004E-005
0.036093672,-1.0717424852978E-005
0.0364159369,-1.23287494657659E-005
0.0383495264,-1.39400740761239E-005
0.0415721756,-1.61959285265524E-005
0.0383495264,-1.36178091542465E-005
0.0415721756,-1.71627232895702E-005
0.0396385861,-1.42623389979043E-005
0.0402831159,-1.5873663605353E-005
0.0418944405,-1.71627232895702E-005
0.0389940563,-1.39400740761239E-005
0.0377049966,-1.23287494657659E-005
0.0431835002,-1.81295180517188E-005
0.0428612353,-0.000017485
0.0389940563,-1.42623389979043E-005
0.0380272615,-1.29732793102004E-005
0.0418944406,-1.6518193447655E-005
0.0389940563,-1.36178091542465E-005
0.0425389704,-1.68404583686609E-005
0.0821775548,-5.84126323827492E-005
0.0370604668,-1.03951599301283E-005
0.0319042279,-7.17251069626582E-006
0.0341600824,-8.78383531441767E-006
0.0377049966,-1.23287494657659E-005
0.0322264929,-6.85024577234206E-006
0.0380272615,-1.29732793102004E-005
0.0389940563,-1.42623389979043E-005
0.0396385861,-1.39400740761239E-005
0.0351268772,-1.03951599301283E-005
0.044150295,-0.000018774
0.0386717914,-1.3295544232272E-005
0.0425389704,-1.68404583686609E-005
0.0447948249,-1.81295180517188E-005
0.0441502951,-1.78072531310991E-005
0.0380272615,-1.16842196209426E-005
0.0435057652,-1.71627232895702E-005
0.0380272615,-1.23287494657659E-005
0.0315819631,-4.27212637742447E-006
0.0438280302,-1.61959285265524E-005
0.0399608511,-0.000012651
0.0422167056,-1.45846039195878E-005
0.0360936721,-0.000007817
0.0396385862,-0.000011362
0.0438280302,-1.52291337626641E-005
0.0428612355,-1.36178091542465E-005
0.0341600826,-4.91665622674236E-006
0.0083788883,2.44094523197322E-005
0.044794825,-1.49068688411744E-005
0.0428612356,-1.20064845434029E-005
0.0386717916,-0.000007817
0.0473729445,-1.5873663605353E-005
0.0418944408,-9.75063008413668E-006
0.0470506796,-1.39400740761239E-005
0.0422167058,-9.10610023775493E-006
0.0480174744,-1.45846039195878E-005
0.0480174745,-1.39400740761239E-005
0.0480174745,-0.000012651
0.0486620044,-1.29732793102004E-005
0.0457616201,-9.42836516099459E-006
0.054785038,-0.000017485
0.0534959783,-1.5873663605353E-005
0.0522069187,-1.36178091542465E-005
0.0502733291,-1.16842196209426E-005
0.0576854224,-1.78072531310991E-005
0.0573631575,-1.71627232895702E-005
0.0476952099,-6.20571592420083E-006
0.0483397397,-0.000006528
0.0435057659,-4.04947273255507E-007
0.0438280309,2.395825788193E-007
0.0499510645,-5.23892115125408E-006
0.0525291839,-6.85024577234206E-006
0.0534959787,-7.49477562009173E-006
0.0016113247,4.53566732246109E-005
0.060585807,-1.52291337626641E-005
0.0589744825,-1.0717424852978E-005
0.0580076879,-8.13930546745016E-006
0.0612303371,-1.0717424852978E-005
0.0641307215,-1.23287494657659E-005
0.0631639268,-1.0717424852978E-005
0.0650975164,-1.16842196209426E-005
0.0573631583,-2.33853682711229E-006
0.0618748673,-6.85024577234206E-006
0.0663865763,-9.42836516099459E-006
0.0625193973,-3.94986145261822E-006
0.0628416623,-3.94986145261822E-006
0.0618748676,-0.000001694
0.0660643117,-4.91665622674236E-006
0.0615526028,5.61847505004863E-007
0.0599412783,0.000004429
0.0692869611,-4.5943913021325E-006
0.0808884984,-1.5551398684057E-005
0.0696092263,-2.01627190171589E-006
0.0686424316,-8.26823472674768E-008
0.0770213196,-0.000007817
0.0757322601,-4.91665622674236E-006
0.0737986706,-2.33853682711229E-006
0.0757322603,-2.33853682711229E-006
0.0770213201,-2.33853682711229E-006
0.077988115,-0.000001694
0.1508199858,-7.35590829975855E-005
0.0821775591,-3.94986145261822E-006
0.079277175,1.8509072107358E-006
0.083788884,-2.33853682711229E-006
0.0860447386,-3.30533160271091E-006
0.0847556791,-4.04947273255507E-007
0.0824998247,3.78449677230274E-006
0.0895896532,-2.01627190171589E-006
0.0886228586,5.61847505004863E-007
0.0821775601,7.97394083463168E-006
0.0844334148,8.29620576320034E-006
0.0889451239,4.75129155442533E-006
0.0931345681,2.17317213741591E-006
0.0918455085,4.75129155442533E-006
0.0966794827,2.49543706419505E-006
0.0928123037,7.65167590616278E-006
0.0976462777,3.78449677230274E-006
0.1002243973,2.81770199107327E-006
0.0837888861,2.15090679209147E-005
0.1008689276,6.362616193284E-006
0.1008689277,7.3294109777936E-006
0.1034470473,6.68488112135425E-006
0.1002243982,1.1518855054383E-005
0.1060251671,7.65167590616278E-006
0.1108591411,4.10676169957765E-006
0.1092478167,7.65167590616278E-006
0.1140817909,5.39582140967045E-006
0.0889451265,3.2466075693155E-005
0.0995798696,2.47317172534428E-005
0.1195602954,5.39582140967045E-006
0.1179489709,8.61847069186881E-006
0.1198825607,8.61847069186881E-006
0.1137595273,1.66750939411361E-005
0.1231052106,9.90753040754155E-006
0.1234274757,1.0874325195346E-005
0.1214938864,1.47415043555868E-005
0.1218161516,1.66750939411361E-005
0.1276169207,1.34524446339001E-005
0.1263278612,1.69973588724138E-005
0.1289059808,0.000015386
0.1282614513,1.86086835303166E-005
0.1324508957,1.63528290099593E-005
0.13728487,0.000014097
0.1379294001,1.47415043555868E-005
0.1372848706,1.79641536668524E-005
0.145663759,1.0874325195346E-005
0.147275084,1.18411199840517E-005
0.1469528194,1.44192394250143E-005
0.1511422638,1.21633849138207E-005
0.1488864097,1.66750939411361E-005
0.1469528205,2.11868029882207E-005
0.1514645298,1.86086835303166E-005
0.1527535901,2.08645380556281E-005
0.1482418814,2.73098367267987E-005
0.1237497466,5.59914163138005E-005
0.1614547442,1.73196238037924E-005
0.1604879501,2.24758627196058E-005
0.1608102154,2.44094523197322E-005
0.1611324807,2.60207769893044E-005
0.1604879512,2.89211614009666E-005
0.1666109855,2.5698512055186E-005
0.1672555158,2.73098367267987E-005
0.1740230796,2.18313328537102E-005
0.1727340204,2.5698512055186E-005
0.1782125248,2.34426575192113E-005
0.1830464993,2.08645380556281E-005
0.1778902608,2.82766315309925E-005
0.1824019704,0.000026343
0.1807906463,0.000031177
0.1856246207,2.7954366596159E-005
0.1898140654,2.66653068578473E-005
0.1933589804,0.000026343
0.1891695367,3.27883406294248E-005
0.1940035114,0.000031177
0.1907808626,3.66555198727005E-005
0.2007710763,0.000029888
0.198515222,3.34328705022732E-005
0.2014156072,3.37551354388519E-005
0.2030269324,3.47219302492061E-005
0.2046382578,0.000036011
0.2097944974,3.37551354388519E-005
0.2607123564,-1.6518193447655E-005
0.2146284726,3.37551354388519E-005
0.2120503541,4.02004341921132E-005
0.2175288586,0.0000373
0.2262300124,3.05324860776946E-005
0.2223628341,3.79445796237639E-005
0.2236518942,3.82668445617885E-005
0.2275190744,3.79445796237639E-005
0.2329975791,3.53664601232912E-005
0.2288081357,4.24562887655503E-005
0.2313862561,4.34230835842986E-005
0.2320307866,4.50344082842978E-005
0.2413764707,3.89113744381486E-005
0.2410542066,0.000042134
0.2329975837,5.27687668807307E-005
0.247499507,4.14894939477391E-005
0.2491108324,4.24562887655503E-005
0.2497553631,4.47121433440893E-005
0.2433100653,5.4702356539305E-005
0.2565229289,4.47121433440893E-005
0.2584565191,4.47121433440893E-005
0.2600678448,4.6323468046177E-005
0.2597455807,4.95461174582031E-005
0.2645795559,4.82570576921348E-005
0.2674799415,4.89015875749591E-005
0.2703803271,4.95461174582031E-005
0.2632904988,5.82472709232438E-005
0.2803705419,4.47121433440893E-005
0.2755365692,5.37355617095429E-005
0.2758588347,5.53468864263412E-005
0.2832709296,5.14797071104569E-005
0.2845599902,5.27687668807307E-005
0.2881049059,0.000053091
0.2887494367,5.50246214827702E-005
0.2932611469,5.34132967665E-005
0.2974505924,5.27687668807307E-005
0.2935834141,5.95363307024021E-005
0.296806065,6.01808605926188E-005
0.3022845699,5.72804760899894E-005
0.3055072203,5.66359462016831E-005
0.3061517516,5.98585956474573E-005
0.3129193167,5.63136812576889E-005
0.3116302581,6.08253904832609E-005
0.3190423531,5.66359462016831E-005
0.315175175,6.37257749964237E-005
0.3187200904,0.000062759
0.3225872711,6.24367152117295E-005
0.3261321871,0.000062759
0.3212982142,7.08156038428584E-005
0.3258099247,6.9526544048733E-005
0.3325774897,6.5337099729695E-005
0.334188816,0.000067593
0.3428899709,6.21144502658227E-005
0.3406341172,6.66261595182379E-005
0.3193646333,9.49854753046285E-005
0.3486907439,6.56593646766701E-005
0.3548137796,6.34035100500901E-005
0.347079422,0.000073716
0.3567473724,6.85597492042683E-005
0.3561028438,7.2104663638707E-005
0.3577141699,7.33937234362814E-005
0.3602922911,7.43605182855964E-005
0.3622258824,7.59718430366182E-005
0.3638372088,7.79054327414205E-005
0.3715715691,7.33937234362814E-005
0.3712493052,7.59718430366182E-005
0.3783391361,7.30714584867259E-005
0.3789836677,7.59718430366182E-005
0.3831731135,7.46827832355843E-005
0.3831731149,7.75831677903488E-005
0.3847844416,0.000079839
0.3934855968,7.43605182855964E-005
0.3883293589,8.20948771152488E-005
0.3973527795,7.69386378885312E-005
0.3989641062,7.91944925467934E-005
0.4076652616,0.000073716
0.4015422292,8.30616719733634E-005
0.4076652653,8.08058173059569E-005
0.4012199679,9.04737659183217E-005
0.4131437728,8.14503472103847E-005
0.3728606545,0.0001249561
0.4141105704,8.56397915998122E-005
0.4253898459,7.82276976926007E-005
0.4199113444,8.85401761879506E-005
0.4253898504,8.62843215075194E-005
0.4234562623,9.11182958293264E-005
0.430868358,8.69288514156651E-005
0.4315128898,0.000089507
0.4321574215,9.20850906966606E-005
0.4411808425,8.69288514156651E-005
0.4405363141,9.01515009629846E-005
0.4437589652,0.000089507
0.4498820014,8.69288514156651E-005
0.4537491836,8.75733813242498E-005
0.4524601249,0.000090796
0.4550382465,9.14405607849941E-005
0.4582608983,9.17628257407722E-005
0.4579386353,9.53077402616226E-005
0.4763077403,8.11280822581163E-005
0.4627726141,9.75635949636859E-005
0.4592277015,0.0001043312
0.4685733874,9.82081248795602E-005
0.4727628337,9.69190650482558E-005
0.4766300152,9.62745351332698E-005
0.4769522821,9.88526547958792E-005
0.4801749333,9.82081248795602E-005
0.4830753209,9.9819449671192E-005
0.4866202365,9.78858599215675E-005
0.5004776301,0.000084673
0.4920987456,9.94971847126431E-005
0.4930655424,0.0001014308
0.4879093043,0.0001085206
0.4933878117,0.0001075538
0.4969327285,0.0001072315
0.4969327301,0.0001094874
0.5049893566,0.0001049757
0.5082120082,0.0001046534
0.5111123949,0.0001046534
0.5124014568,0.0001062647
0.517879963,0.0001033644
0.518524495,0.0001056202
0.5191690277,0.0001088429
0.5249697984,0.0001049757
0.5246475354,0.0001078761
0.5265811273,0.0001088429
0.5275479241,0.0001104542
0.5352822863,0.0001069093
0.5359268179,0.0001085206
0.5378604096,0.0001091651
0.5368936172,0.0001133546
0.5375381486,0.0001146436
0.5417275956,0.0001136768
0.5452725119,0.0001123878
0.5475283689,0.0001130323
0.6164930707,4.66457329869082E-005
0.5539736717,0.0001110987
0.5472061102,0.0001214112
0.5549404712,0.0001159327
0.5523623532,0.0001207667
0.5610635096,0.0001149659
0.5629971012,0.0001152882
0.5658974877,0.0001146436
0.5588076603,0.0001239893
0.5707314666,0.0001152882
0.5726650575,0.0001146436
0.577821299,0.0001120655
0.5716982666,0.0001204444
0.5736318585,0.0001210889
0.5758877151,0.0001210889
0.5839443409,0.0001149659
0.5832998123,0.0001172218
0.5862001992,0.0001168995
0.5623525933,0.000143003
0.5858779386,0.000122378
0.5868447343,0.000122378
0.5900673859,0.0001214112
0.5936123025,0.0001201221
0.5945790994,0.0001214112
0.5945791008,0.0001230225
0.5955458973,0.0001239893
0.5990908134,0.0001220557
0.6390516695,8.33839369262867E-005
0.5855556894,0.0001410694
0.5958681685,0.0001307569
0.6045693238,0.0001233448
0.6055361201,0.0001239893
0.6094033009,0.0001214112
0.6110146269,0.0001210889
0.6110146283,0.0001227003
0.6158486042,0.0001194776
0.6139150162,0.0001233448
0.6132704871,0.0001249561
0.6148818131,0.0001246339
0.6145595488,0.0001256006
0.6197157903,0.0001227003
0.6164931418,0.000127212
0.6187489972,0.0001256006
0.6148818187,0.0001307569
0.6242275037,0.000122378
0.6090810504,0.0001378467
0.6277724192,0.0001197999
0.6255165665,0.0001243116
0.6242275073,0.0001262452
0.6271278923,0.0001236671
0.6164931498,0.0001359131
0.6255165692,0.000127212
0.6293837488,0.0001233448
0.62938375,0.0001246339
0.5961904589,0.0001591162
0.6161708887,0.0001404248
0.6358290509,0.0001197999
0.6351845209,0.0001204444
0.6309950767,0.0001249561
0.6332509315,0.0001227003
0.630995077,0.0001252784
0.6390517017,0.0001178663
0.6338954623,0.0001230225
0.6335731979,0.0001239893
0.6348622578,0.0001227003
0.6326064027,0.0001246339
0.638407173,0.0001197999
0.6290614878,0.0001278565
0.636473582,0.0001204444
0.6345399919,0.0001220557
0.630350547,0.0001259229
0.6313173413,0.0001243116
0.629061486,0.0001259229
0.6364735802,0.0001185108
0.6319618701,0.000122378
0.6332509293,0.0001204444
0.6355067841,0.0001181886
0.6309950734,0.0001214112
0.6329286629,0.0001191553
0.6345399862,0.0001159327
0.6306728054,0.0001185108
0.5755654961,0.0001752295
0.6313173338,0.000116255
0.6361513068,0.0001098097
0.6322841269,0.0001133546
0.6332509206,0.0001110987
0.631317329,0.0001110987
0.6229384388,0.0001181886
0.6261610878,0.0001143214
0.6187489916,0.0001194776
0.619715785,0.0001168995
0.6193935192,0.000116255
0.6171376624,0.000116255
0.6168153959,0.0001149659
0.6181044546,0.0001123878
0.614559538,0.0001136768
0.6135927414,0.00011271
0.6110146205,0.0001139991
0.6119814122,0.0001094874
0.6226161536,9.62745351332698E-005
0.6129482037,0.0001046534
0.610047817,0.000105298
0.6094032848,0.0001033644
0.605536103,0.0001046534
0.6016689215,0.0001062647
0.6007021247,0.0001049757
0.5968349424,0.0001056202
0.5994130596,0.0001001417
0.5745986569,0.0001243116
0.6019911734,0.000090796
0.5865224538,0.0001043312
0.5894228368,9.94971847126431E-005
0.5894228341,9.62745351332698E-005
0.5839443263,9.75635949636859E-005
0.5720205201,0.0001062647
0.5813662016,9.40186804343105E-005
0.5771767542,9.46632103477451E-005
0.5755654265,9.27296206087686E-005
0.5704091839,9.36964154777592E-005
0.5684755918,9.27296206087686E-005
0.5639638793,9.33741505213185E-005
0.5607412267,9.27296206087686E-005
0.5626748134,8.69288514156651E-005
0.560096691,8.5962056553611E-005
0.5555849786,8.66065864615374E-005
0.5588076249,7.91944925467934E-005
0.5539736464,0.00007855
0.5433389003,8.56397915998122E-005
0.5494619312,7.53273131358847E-005
0.5423720994,0.00007855
0.5394717115,7.69386378885312E-005
0.533993204,7.79054327414205E-005
0.5333486705,0.000073716
0.5256143082,7.66163729377851E-005
0.5223916555,7.53273131358847E-005
0.5256143009,6.63038945709415E-005
0.5265810925,6.08253904832609E-005
0.5033780131,7.95167574984084E-005
0.506278395,7.27491935372783E-005
0.503378007,7.04933388941656E-005
0.5004776183,6.72706894131522E-005
0.4940323159,6.85597492042683E-005
0.4914541925,6.5337099729695E-005
0.4924209842,5.95363307024021E-005
0.4804971777,6.59816296237523E-005
0.4811417037,5.92140657574532E-005
0.4788858456,5.59914163138005E-005
0.4743741326,5.43800915959453E-005
0.4708292151,5.27687668807307E-005
0.4695401518,4.82570576921348E-005
0.4560050209,5.63136812576889E-005
0.4663174956,4.02004341921132E-005
0.4547159539,4.53566732246109E-005
0.4463370621,4.79347927508799E-005
0.4415030847,0.000046968
0.4392472265,4.27785537050289E-005
0.4305460698,4.53566732246109E-005
0.420233588,4.89015875749591E-005
0.4202335849,4.31008186446117E-005
0.4205558459,3.53664601232912E-005
0.4118546893,3.76223146858428E-005
0.405731652,3.69777848103112E-005
0.4411807904,-6.20571592420083E-006
0.3992863462,2.92434263361072E-005
0.3828508317,3.98781692534664E-005
0.3851066827,3.0210221142144E-005
0.3815617653,2.69875717922719E-005
0.3738274038,2.7954366596159E-005
0.3709270162,2.37649224526165E-005
0.3667375686,0.00002022
0.3619035915,1.79641536668524E-005
0.3570696144,0.000015386
0.349657518,1.57082991479081E-005
0.345468071,1.28079147736597E-005
0.3409563589,9.58526547847345E-006
0.3328997326,9.90753040754155E-006
0.3312884054,4.75129155442533E-006
0.32000913,8.29620576320034E-006
0.315819683,0.000004429
0.3038958778,8.29620576320034E-006
0.2942279275,1.0874325195346E-005
0.2939056597,2.81770199107327E-006
0.2932611273,-4.27212637742447E-006
0.2826263823,-1.37174205062753E-006
0.2732806969,-8.26823472674768E-008
0.2690912506,-3.62759652771371E-006
0.2632904793,-0.000006528
0.259745563,-1.0717424852978E-005
0.2494330828,-9.75063008413668E-006
0.2922943139,-6.19575463743715E-005
0.2397651307,-1.68404583686609E-005
0.2281635916,-1.29732793102004E-005
0.2275190598,-2.03853724933576E-005
0.2249409384,-2.65084059540892E-005
0.2165620486,-2.61861410359645E-005
0.2049605096,-2.32857567685416E-005
0.200771064,-2.71529357900526E-005
0.1936812338,-2.9731055130096E-005
0.1894917883,-3.39204990447082E-005
0.1769234549,-2.9731055130096E-005
0.1749898641,-3.52095587075265E-005
0.1649996501,-3.48872937919635E-005
0.1608102048,-0.000039399
0.150819991,-3.87544727725041E-005
0.1469528108,-4.29439166528395E-005
0.141152041,-4.64888306931074E-005
0.1285837082,-4.32661815660569E-005
0.1169821703,-4.00435324296773E-005
0.1147263149,-4.71333605174016E-005
0.1098923403,-5.10005394553825E-005
0.1034470412,-5.32563938297279E-005
0.0928122983,-5.1645069277085E-005
0.0841111449,-5.19673341877979E-005
0.0773435811,-5.4223188560209E-005
0.0747654613,-0.000060024
0.0686424274,-6.35688709123775E-005
0.1005466519,-0.000105141
0.0538182407,-0.000066147
0.044472558,-0.000066147
0.0441502927,-7.48481426151951E-005
0.0293261068,-6.96919041361577E-005
0.0309374311,-8.0004381071371E-005
0.0232030732,-8.12934406818623E-005
0.0132128611,-8.0004381071371E-005
0.0035449139,-7.96821161685266E-005
-0.0051562384,-8.0004381071371E-005
