Frequency5,Magnitude5,Phase5,Nyquist_Real5,Nyquist_Imag5
0,10304.139542542,-3.1415926536,-10304.139542542,-1.60544508603736E-012
39.839050237,35610.7882567708,0.1667222874,35117.00916581,5909.6452953606
79.6781004741,331884.423795644,2.9328979577,-324683.256975575,68760.8420389027
119.5171507111,211368.766229502,-0.6219821344,171784.716213794,-123153.427125389
159.3562009482,420522.846325609,-0.3915293456,388700.427095636,-160472.55920394
199.1952511852,77151.0048089057,0.1066065113,76713.0112702877,8209.2292493568
239.0343014223,131902.082022115,-0.4438192452,119123.184249486,-56637.6748819369
278.8733516593,75418.303362115,0.3948080397,69616.4046016066,29008.2176695745
318.7124018963,101176.185315513,-0.4848478049,89515.2144792063,-47155.5601360086
358.5514521334,128255.337965998,-0.9143948698,78270.3937301021,-101603.03726812
398.3905023704,67053.9281329848,-0.3785198714,62307.3567869344,-24779.4787735569
438.2295526075,77394.4266122439,-0.5924328507,64205.2304845097,-43215.571835497
478.0686028445,426779.930804836,-0.6533353975,338889.229039043,-259413.183510599
517.9076530816,66658.5384703113,-0.6266529778,53993.0734833906,-39091.0317952233
557.7467033186,83510.5747213008,-0.8865504541,52786.1007241263,-64712.0055370281
597.5857535557,170685.193810618,-0.2180459121,166643.71418215,-36922.9997392735
637.4248037927,74705.8042300955,-1.1009931229,33820.1258511098,-66611.9829541235
677.2638540297,101171.38373724,-0.7945319337,70882.5759764418,-72189.3988772028
717.1029042668,113823.585942736,-0.2323347964,110765.312431245,-26207.9048928378
756.9419545038,177691.614676938,-1.3720449959,35084.3914675967,-174193.557291439
796.7810047409,83207.7209001194,-0.685239378,64425.0404426777,-52658.7028073377
836.6200549779,66539.5316135562,-0.5089879384,58104.855893483,-32424.296275309
876.459105215,166530.006519812,-0.6451147589,133062.599143836,-100132.850656392
916.298155452,87936.2833951014,-0.8778059383,56177.27313652,-67652.8190121329
956.137205689,58620.2299365242,-1.0436940772,29487.794214662,-50663.6097230025
995.9762559261,84620.5436028454,-0.4878291751,74749.7624134717,-39662.4434291509
1035.8153061631,81327.4975545315,-0.7478419954,59625.9171312325,-55307.4304659123
1075.6543564002,63484.8555970359,-0.9763764399,35553.3119743027,-52595.5216518897
1115.4934066372,57151.1317609236,-0.5799561193,47806.1614248732,-31318.0904809571
1155.3324568743,55361.7153450354,-1.2026520047,19923.8349336949,-51652.3022476211
1195.1715071113,72561.1320728425,-1.2733022792,21269.5002349004,-69373.8152868217
1235.0105573484,42483.6309573647,-0.9474176623,24801.1646536967,-34492.9142164268
1274.8496075854,72536.1753482629,-1.0558370766,35724.0217035709,-63129.1613082
