V_9,I_9
0.0016113246,-2.98306667760976E-006
0.0032226493,-4.27212637742447E-006
0.0016113246,-2.66080175241024E-006
0.0029003843,-3.94986145261822E-006
-0.0009667948,2.395825788193E-007
-0.0019335896,5.61847505004863E-007
0.0003222649,-1.04947712493549E-006
-0.0038671791,0.00000314
-0.004189444,2.81770199107327E-006
0.0016113246,-2.98306667760976E-006
0.0048339739,-6.20571592420083E-006
-0.0254589294,2.34426575192113E-005
-0.0035449142,1.52864228415468E-006
-0.0012890597,-4.04947273255507E-007
0.0022558545,-3.62759652771371E-006
-0.0009667948,-4.04947273255507E-007
-0.0083788881,6.68488112135425E-006
-0.0064452985,5.39582140967045E-006
-0.0029003843,1.20637735767251E-006
-0.0012890597,-4.04947273255507E-007
-0.0161132464,1.44192394250143E-005
-0.0012890597,-4.04947273255507E-007
0.0029003843,-4.5943913021325E-006
0.0016113246,-3.62759652771371E-006
-0.0019335896,2.395825788193E-007
0.0025781194,-3.94986145261822E-006
0.0038671791,-5.23892115125408E-006
0.0054785037,-6.85024577234206E-006
-0.0009667948,2.395825788193E-007
-0.0009667948,-8.26823472674768E-008
-0.0012890597,-4.04947273255507E-007
-0.004189444,2.81770199107327E-006
0.0064452985,-7.49477562009173E-006
-0.0016113246,1.20637735767251E-006
-0.0025781194,8.84112431289255E-007
-0.0048339739,0.00000314
-0.0038671791,2.49543706419505E-006
-0.0022558545,2.395825788193E-007
0.0135351268,-1.5551398684057E-005
0.0087011529,-1.10396897757302E-005
-0.0012890597,-4.04947273255507E-007
0,-0.000001694
0.0029003843,-4.5943913021325E-006
0.0006445299,-2.01627190171589E-006
0.0016113246,-3.30533160271091E-006
0.0032226493,-4.91665622674236E-006
-0.0003222649,-1.37174205062753E-006
0.0035449142,-5.23892115125408E-006
0.0032226493,-4.27212637742447E-006
-0.0035449142,1.52864228415468E-006
0.0038671791,-5.23892115125408E-006
-0.0009667948,-4.04947273255507E-007
-0.0009667948,-4.04947273255507E-007
-0.0048339739,3.46223184512707E-006
-0.0022558545,8.84112431289255E-007
-0.0038671791,2.49543706419505E-006
0.0009667948,-2.01627190171589E-006
-0.0009667948,-4.04947273255507E-007
-0.0022558545,8.84112431289255E-007
-0.008701153,7.97394083463168E-006
-0.004189444,3.46223184512707E-006
-0.0022558545,1.20637735767251E-006
-0.0038671791,2.81770199107327E-006
0.004189444,-4.91665622674236E-006
-0.004189444,3.78449677230274E-006
-0.0012890597,1.52864228415468E-006
-0.0012890597,2.17317213741591E-006
0.0003222649,-8.26823472674768E-008
0.0032226493,-2.66080175241024E-006
0.0016113246,-8.26823472674768E-008
0.0012890597,-4.04947273255507E-007
0.0016113246,2.395825788193E-007
0.0032226493,-0.000001694
0.0103124776,-0.000007817
-0.0009667948,2.49543706419505E-006
0.0035449142,2.395825788193E-007
0.0009667948,3.78449677230274E-006
0.0029003843,1.8509072107358E-006
0.0019335896,4.10676169957765E-006
0.004511709,1.8509072107358E-006
-0.0054785038,1.1518855054383E-005
0.0009667948,6.04035126531331E-006
0.0032226493,0.000004429
0.0025781194,5.39582140967045E-006
0.0019335896,7.0071460495241E-006
0.0058007687,3.46223184512707E-006
