Frequency23,Magnitude23,Phase23,Nyquist_Real23,Nyquist_Imag23
0,1997.3912331996,-3.1415926536,-1997.3912331996,-5.88195410114957E-013
39.839050237,8907.0359710187,-1.4482090846,1089.1562792279,-8840.1939112465
79.6781004741,20773.9718757885,-0.6034027138,17105.4862905002,-11788.1400679479
119.5171507111,18554.5300175265,-0.6676386529,14570.609740502,-11487.7289296571
159.3562009482,13907.057196492,-0.569754622,11710.2061497575,-7501.8205654815
199.1952511852,17643.703585605,-0.5362998735,15166.618887573,-9015.2064721671
239.0343014223,12395.6265443186,-0.4932234394,10918.2072273641,-5868.9273608173
278.8733516593,13397.8836245361,-0.3721740171,12480.6509104762,-4872.0261152259
318.7124018963,14488.1773704797,-0.4443733556,13081.0889481078,-6228.3541525971
358.5514521334,14102.9880766802,-0.2934157519,13500.2481621006,-4078.9180247567
398.3905023704,13706.2762256159,-0.4370888767,12417.7189075359,-5801.9190882251
438.2295526075,13309.470810204,-0.3501967534,12501.655518783,-4566.248190512
478.0686028445,12965.8434040181,-0.4228030732,11824.1019920453,-5320.1228612909
517.9076530816,11668.230495477,-0.3385346252,11005.9689982579,-3875.0805546423
557.7467033186,12452.7623125011,-0.3516161907,11690.8686665356,-4288.9251606276
597.5857535557,10675.4032439626,-0.2457981996,10354.5369998138,-2597.6523902734
637.4248037927,11779.2025489826,-0.3128656927,11207.3865372022,-3625.4792366935
677.2638540297,11816.8689994423,-0.3217829456,11210.3452090235,-3737.185203399
717.1029042668,12439.3173526946,-0.2971507429,11894.1595825933,-3642.1949460253
756.9419545038,10728.2745121442,-0.2972885947,10257.6707207941,-3142.6207839456
796.7810047409,10935.4551960538,-0.3061153447,10427.0815103095,-3295.4744001832
836.6200549779,10265.851248474,-0.3651085291,9589.1778306391,-3665.4290865019
876.459105215,10475.5899645386,-0.2981075436,10013.5539832054,-3076.8038173684
916.298155452,10739.1915969827,-0.2419320419,10426.4331623232,-2572.8831431513
956.137205689,10763.549273072,-0.1908295231,10568.1610867585,-2041.5592565908
995.9762559261,10036.4124880831,-0.2593571378,9700.745132123,-2573.9307513109
1035.8153061631,10634.0545213579,-0.2944352232,10176.4306697664,-3085.9964981593
1075.6543564002,10749.1594317309,-0.3126810872,10227.9569761287,-3306.557814893
1115.4934066372,10678.2383702633,-0.2668471903,10300.3041032677,-2815.7610112313
1155.3324568743,9715.2814365337,-0.1941345389,9532.7798701056,-1874.2468725241
1195.1715071113,9328.4165520035,-0.2481376041,9042.7011943363,-2291.0500818712
1235.0105573484,9781.7110208689,-0.2567298618,9461.1203171705,-2483.7618323443
1274.8496075854,10455.9424010521,-0.2591198761,10106.8798245527,-2679.125175532
1314.6886578224,9917.0999794991,-0.2642635012,9572.8291923211,-2590.3307236774
1354.5277080595,9420.4717206892,-0.233029781,9165.8477233344,-2175.4362672696
1394.3667582965,10220.6952137557,-0.2387522098,9930.7731499256,-2417.0964600541
1434.2058085336,9834.4001710981,-0.30133477,9391.2737699543,-2918.8017580959
1474.0448587706,9588.7157129372,-0.2476030403,9296.2853422616,-2350.0101826971
1513.8839090077,9967.8680399247,-0.260026758,9632.7792050938,-2562.8027718232
1553.7229592447,9354.2823506412,-0.291126916,8960.6637186434,-2684.9774704649
1593.5620094818,9550.7173324652,-0.2571717815,9236.6247268235,-2429.1902396652
1633.4010597188,9243.1561244467,-0.2303973536,8998.9124755809,-2110.8077595391
1673.2401099558,9110.6711244711,-0.2663143882,8789.4964332816,-2397.7240849607
1713.0791601929,9102.6376343755,-0.2399245339,8841.9008680798,-2163.0536151002
1752.9182104299,9874.3405263399,-0.2637003331,9533.0051179943,-2573.7937466732
1792.757260667,9100.9416699369,-0.2881452022,8725.7336025167,-2586.2545074884
1832.596310904,9109.9609750863,-0.255478053,8814.2753136023,-2302.1597823818
1872.4353611411,8963.6728815715,-0.3003588799,8562.3725751783,-2652.0194968467
1912.2744113781,8683.5197732501,-0.2773417192,8351.6935902541,-2377.5470188692
1952.1134616151,9193.6417379375,-0.2878047066,8815.5009555478,-2609.5960048027
1991.9525118522,9052.5333603817,-0.2976710545,8654.4223887772,-2655.0580704491
2031.7915620892,8992.4602027972,-0.2882837685,8621.3703642698,-2556.6215091371
2071.6306123263,8830.8975849497,-0.3044060783,8424.8982603616,-2646.8550127321
2111.4696625633,8680.6462408599,-0.2697819714,8366.6588334286,-2313.5771273002
2151.3087128004,8370.107719573,-0.3234833278,7935.9830685182,-2660.6157132225
2191.1477630374,8832.6107040701,-0.2564459912,8543.762601727,-2240.3420397308
2230.9868132744,9210.4439119298,-0.2937763039,8815.8427339778,-2667.0571693489
2270.8258635115,8485.702426792,-0.2684885427,8181.6847292205,-2251.0399080656
2310.6649137485,8912.3766863086,-0.3065596676,8496.8588257002,-2689.5814348663
2350.5039639856,8712.2959295384,-0.3364239408,8223.8951137831,-2876.0475519969
2390.3430142226,8888.8355972568,-0.2803068745,8541.9095577955,-2459.1013361596
2430.1820644597,8914.3462742428,-0.2966628404,8524.9441467303,-2605.9349171143
2470.0211146967,8332.7369267829,-0.3588885982,7801.8396235489,-2926.7393425779
2509.8601649338,8425.6117754957,-0.3431293907,7934.4528663972,-2834.6766133536
2549.6992151708,9026.7419748873,-0.2980855548,8628.6671249891,-2651.070411612
2589.5382654078,8909.2698354794,-0.2696537129,8587.3173710581,-2373.4088080453
2629.3773156449,8291.0407701781,-0.2572613584,8018.1859740154,-2109.5143372012
2669.2163658819,8755.8013796027,-0.3437676573,8243.512680813,-2951.0263435502
2709.055416119,9463.6730885381,-0.3553202244,8872.5260156771,-3292.3229531524
2748.894466356,8962.5145065058,-0.3035621187,8552.7281984843,-2679.086904559
