Frequency4,Magnitude4,Phase4,Nyquist_Real4,Nyquist_Imag4
0,5330.6689579062,-3.1415926536,-5330.6689579062,-9.96390718187991E-013
39.839050237,256338.288115195,1.7569316072,-47438.5590640293,251910.502098974
79.6781004741,62794.7837881063,-0.2587296286,60704.7087684132,-16066.2131299556
119.5171507111,48150.7143025581,-0.0688932144,48036.4912255036,-3314.6340052397
159.3562009482,76445.9558783891,-0.1877263602,75102.8840382153,-14266.7788692121
199.1952511852,203266.052500266,-0.3670770097,189724.541188095,-72949.8908155973
239.0343014223,2157519.47271084,-0.500827904,1892544.4584104,-1035937.13519043
278.8733516593,184247.413848269,-0.2136699484,180057.497405701,-39069.2607784094
318.7124018963,67151.5108566218,-0.5656005394,56693.7985640587,-35988.0343267722
358.5514521334,64434.6236379776,-0.5190432935,55948.2068221473,-31962.7732957272
398.3905023704,151540.138064863,-0.8037921215,105166.03793359,-109107.826988115
438.2295526075,379193.96111424,-0.6481160176,302301.974966231,-228913.90538153
478.0686028445,173672.028904321,-0.5451462071,148498.526254309,-90056.4341068514
517.9076530816,111609.37081265,-0.3844912232,103460.702397947,-41863.2859737375
557.7467033186,66773.1363626279,-0.2941567753,63905.0272425555,-19359.7322509979
597.5857535557,62304.3788399138,-1.0647242941,30201.759660917,-54494.8560509311
637.4248037927,98211.6628681483,-0.6780635487,76486.1516337889,-61606.8123796377
677.2638540297,74163.4951476641,-0.8467727878,49126.2140955021,-55559.3295600342
717.1029042668,274603.915313528,-0.188214115,269754.396221792,-51379.7238658953
756.9419545038,58564.7673720271,-0.9051928147,36165.7311961898,-46063.7803961485
796.7810047409,73108.6579056874,-1.1365649992,30757.7767559513,-66323.7139325135
836.6200549779,57603.7976209589,-0.8246434846,39102.5407830972,-42298.8038207064
876.459105215,122275.486822087,-1.4328721209,16811.3303187409,-121114.30076788
916.298155452,166775.12139852,-0.6051677034,137156.977690424,-94878.3673358653
956.137205689,78010.5446251301,-0.731332867,58062.0697954298,-52100.2986918507
995.9762559261,80281.2053863376,-0.4961674041,70600.3803445108,-38218.5587574116
1035.8153061631,49671.6763683469,-0.8465523561,32910.9311049842,-37204.113308138
1075.6543564002,60431.2907753363,-1.3170605767,15169.5737540194,-58496.3668691877
1115.4934066372,55607.4791491115,-0.9025274947,34455.9583329732,-43646.0613649764
1155.3324568743,42913.7494514378,-0.9365810565,25428.3520481663,-34568.6100978228
1195.1715071113,72176.188361556,-0.5526125675,61433.2000033146,-37886.1993838859
1235.0105573484,56216.9733088633,-1.3031106121,14869.4053831351,-54214.8399569845
1274.8496075854,77415.3460013327,-1.4614680496,8446.835871101,-76953.1465261345
1314.6886578224,47838.8122478841,-1.1520245324,19453.1116967355,-43705.0157602378
1354.5277080595,114452.063042116,-1.0009877144,61743.5585328784,-96369.1222036059
1394.3667582965,58373.2933490085,-0.6064508304,47963.9373948143,-33270.1380519489
1434.2058085336,44377.854851605,-0.9593170785,25476.4076637857,-36336.5746016148
1474.0448587706,48486.2788218055,-0.9112111716,29711.8619510084,-38316.1127124097
1513.8839090077,37427.9527756453,-1.0067908358,20008.0703260759,-31631.1360972498
1553.7229592447,52664.6995443451,-1.4194170712,7941.9292750333,-52062.4273107441
1593.5620094818,31270.9331338901,-1.0733395178,14922.2432043295,-27480.8645572709
1633.4010597188,36586.9971642637,-1.2613322361,11142.5051643854,-34849.0019966065
1673.2401099558,46801.0592763251,-0.9399805094,27603.4409537002,-37794.0365256436
1713.0791601929,53375.9875295109,-1.4648170866,5646.1634957213,-53076.519125976
1752.9182104299,71461.8196408793,-1.2108366064,25171.4637693844,-66881.9039658123
1792.757260667,42994.3874962704,-1.0943884759,19716.7955194239,-38206.8754365582
1832.596310904,47909.3863977398,-1.0311351248,24618.0164833944,-41100.6395258183
1872.4353611411,32187.3228368028,-0.8739529326,20657.8294756266,-24683.553892349
1912.2744113781,29941.922679683,-1.1935491482,11029.4850663143,-27836.4723506421
1952.1134616151,34294.9731383656,-1.0057733328,18362.7370471996,-28964.7211396315
1991.9525118522,34581.0708442131,-1.2737813886,10120.7436488191,-33066.9171337059
2031.7915620892,49110.8908844697,-1.2460631526,15669.1203194848,-46544.1540032666
2071.6306123263,29767.7003824465,-1.4130225364,4677.1022391695,-29397.9710303868
2111.4696625633,35290.382823696,-1.4249344447,5129.2882215673,-34915.6343517214
2151.3087128004,30227.4917939179,-1.1265713212,12990.5134567463,-27293.7322526889
2191.1477630374,51272.7239920918,-1.2481807413,16255.9293709514,-48627.5332075962
2230.9868132744,38710.853054515,-0.9646272266,22054.4739685922,-31813.9956965003
2270.8258635115,27944.3762324242,-1.1607512256,11140.0448901371,-25627.8669199175
2310.6649137485,32176.3282868873,-1.0942617592,14759.3650557528,-28591.5589847173
2350.5039639856,26573.2093654188,-1.3139899178,6749.4089488654,-25701.7690990203
2390.3430142226,29655.9758517486,-1.4436793292,3759.6343369032,-29416.6968467276
2430.1820644597,25624.3974572621,-1.2765660378,7431.1598994617,-24523.2054918678
2470.0211146967,30782.9013988103,-1.3266225401,7441.9111469161,-29869.8004179855
2509.8601649338,32887.8159106173,-1.1624636005,13059.0835227656,-30183.9157982539
2549.6992151708,35851.6492407316,-1.3738873297,7013.9807311525,-35158.8513405013
2589.5382654078,34254.9435479563,-1.2435208012,11011.7435306908,-32436.7486331161
2629.3773156449,26116.011668914,-1.3023909715,6925.8155024776,-25180.928202044
2669.2163658819,28890.433376042,-1.1747351592,11145.565929568,-26653.9584445758
