Frequency35,Magnitude35,Phase35,Nyquist_Real35,Nyquist_Imag35
0,1987.2102501494,-3.1415926536,-1987.2102501494,-5.86948640461811E-013
39.839050237,7927.5347562862,-1.4532679702,929.5666742375,-7872.846569715
79.6781004741,13871.3255348567,-1.3496728603,3042.340585035,-13533.5817823153
119.5171507111,15165.3203831445,-0.8277072413,10260.3383809161,-11167.4705565995
159.3562009482,15846.196368548,-0.9351719141,9407.5713765838,-12751.4524719761
199.1952511852,13622.8294756349,-0.7324540122,10129.0594235617,-9109.5355598506
239.0343014223,11560.3794869412,-0.6433238039,9249.5332714326,-6934.5878134718
278.8733516593,11572.3573497197,-0.4883334907,10219.733186136,-5429.2272225246
318.7124018963,12522.5019924033,-0.4761625692,11129.5042955035,-5739.9643105261
358.5514521334,12945.4752299905,-0.5351634357,11135.5073851381,-6601.9545746569
398.3905023704,9988.1698057598,-0.4751428051,8881.7542901328,-4569.2424753343
438.2295526075,10626.5863553825,-0.4661691342,9492.6944006454,-4776.3051184317
478.0686028445,10372.0181577805,-0.3045371203,9894.7585585186,-3110.0665160012
517.9076530816,11255.6406610289,-0.56304681,9518.138449952,-6007.8687683532
557.7467033186,10166.0080770339,-0.3571125228,9524.6356903885,-3553.735385154
597.5857535557,9288.7134419453,-0.3764373452,8638.319592174,-3414.6203346839
637.4248037927,11127.8342587802,-0.2934956668,10651.9905854978,-3219.2843703762
677.2638540297,9212.1225258364,-0.3560894269,8634.2208218583,-3211.4532894644
717.1029042668,9865.0935139715,-0.4274096007,8977.6549626115,-4089.2274834864
756.9419545038,9250.460730133,-0.2895781512,8865.3124216794,-2641.4502429065
796.7810047409,9296.4736374276,-0.4208589242,8485.2481781225,-3798.0238871098
836.6200549779,9645.6896775142,-0.2607079827,9319.739902203,-2486.3180629578
876.459105215,9610.2227139771,-0.3194920087,9123.8982840355,-3018.4202349597
916.298155452,10378.1325934749,-0.3317203088,9812.3530225331,-3379.8467848307
956.137205689,8943.4255557533,-0.2949519253,8557.2137258686,-2599.7988231989
995.9762559261,8553.7915271828,-0.2182565259,8350.8651716021,-1852.1340060125
1035.8153061631,9124.0435010722,-0.1711407624,8990.7515246722,-1553.8844329816
1075.6543564002,8610.9934441559,-0.2764070945,8284.1386706567,-2349.947782532
1115.4934066372,7955.725182467,-0.3006334039,7598.9038581453,-2355.8911973189
1155.3324568743,8204.5026842629,-0.3080451131,7818.3011948531,-2487.5752697427
1195.1715071113,8737.9384980478,-0.2840669166,8387.7531891537,-2448.9111118021
1235.0105573484,8905.4709612811,-0.3372934573,8403.6815886794,-2947.1255145162
1274.8496075854,8557.0445916813,-0.2778858855,8228.7752907607,-2347.3962933833
1314.6886578224,7944.8199647553,-0.2864497606,7621.0926501412,-2244.7964474174
1354.5277080595,8337.2356306083,-0.2147220647,8145.776460679,-1776.4638507252
1394.3667582965,8385.4123666332,-0.2643510788,8094.122059768,-2190.9652302265
1434.2058085336,8452.8076278397,-0.2772083771,8130.1062553074,-2313.2939870837
1474.0448587706,8056.1867263717,-0.2808517504,7740.5429433964,-2232.9665272017
1513.8839090077,7541.0698647053,-0.2780796323,7251.3749176448,-2070.0957726921
1553.7229592447,8162.2973102897,-0.2415956297,7925.2434080283,-1952.8477424178
1593.5620094818,8242.9989825157,-0.2140845841,8054.8219200922,-1751.2498569182
1633.4010597188,8350.6095068796,-0.2826436452,8019.2698020241,-2328.9463237124
1673.2401099558,7411.6380127934,-0.2111082411,7247.0943891984,-1553.0617974615
1713.0791601929,7487.0135663017,-0.2106200694,7321.5615507951,-1565.2822748323
1752.9182104299,7457.5954913623,-0.2468280614,7231.572897408,-1822.1097503338
1792.757260667,7596.4265837527,-0.2990615862,7259.2469494901,-2238.086363093
1832.596310904,7128.1234413341,-0.33243328,6737.8662115813,-2326.2206923952
1872.4353611411,7205.5386752613,-0.2973894358,6889.2494467864,-2111.4046652974
1912.2744113781,7515.1433073088,-0.2969130453,7186.3121496411,-2198.7033945734
1952.1134616151,7996.2940370896,-0.2880986293,7666.733529082,-2271.984885875
1991.9525118522,7819.4272101898,-0.2990754819,7472.3173203007,-2303.8914384558
2031.7915620892,7240.4527512736,-0.2668084785,6984.2657350396,-1908.9756902007
2071.6306123263,7327.528127374,-0.2494616971,7100.7078618001,-1809.0374011687
2111.4696625633,7223.4337876947,-0.2939935543,6913.5070990822,-2093.1830488875
2151.3087128004,7498.686890696,-0.3082360618,7145.27522191,-2274.9389195879
2191.1477630374,6979.4426010796,-0.3226296901,6619.3377321907,-2212.913692163
2230.9868132744,7522.0122308571,-0.3141573785,7153.863133586,-2324.4161131526
2270.8258635115,7217.8162582204,-0.2803902215,6935.9426709188,-1997.3909990681
2310.6649137485,7743.1993010816,-0.2993650538,7398.8122731154,-2283.5744707511
2350.5039639856,7518.7199325875,-0.2775031847,7231.0721360462,-2059.7925109063
2390.3430142226,7188.5649825911,-0.2946312286,6878.8046409458,-2087.4657411889
2430.1820644597,7301.9739159548,-0.2944536061,6987.7032234208,-2119.1570802278
2470.0211146967,6785.0626452888,-0.2650164466,6548.1838493983,-1777.1784870893
2509.8601649338,7913.5496407278,-0.3151685804,7523.7609192005,-2453.0164179994
2549.6992151708,7022.7374379214,-0.2980717414,6713.0666851573,-2062.4201324207
2589.5382654078,7469.884314241,-0.3429231821,7034.9562424588,-2511.6851583814
2629.3773156449,6917.8851558883,-0.2549426477,6694.2836182371,-1744.6208380799
2669.2163658819,7327.3231619895,-0.2740585966,7053.8704388607,-1983.0725029601
2709.055416119,7531.4879162595,-0.304438141,7185.1563940473,-2257.6177324436
2748.894466356,6778.9179475156,-0.313387121,6448.7496539706,-2089.8221071572
2788.7335165931,7188.6768837677,-0.3486719707,6756.1145180241,-2456.0113921886
2828.5725668301,6934.9627672802,-0.2579728101,6705.4789073597,-1769.2544210815
2868.4116170671,7652.5022841135,-0.3375732978,7220.6039528622,-2534.4959586224
2908.2506673042,7317.087225589,-0.2826633278,7026.7159724234,-2040.8400500204
2948.0897175412,7296.250978583,-0.3179232457,6930.6113856603,-2280.7683274347
2987.9287677783,6920.3488872307,-0.2545651719,6697.3260257402,-1742.7142123535
3027.7678180153,7079.4644677992,-0.2406340608,6875.4842947724,-1687.1671118086
3067.6068682524,7250.7889535598,-0.2715315155,6985.1292033737,-1944.7134650742
3107.4459184894,6801.9221505193,-0.2861820074,6525.278808785,-1920.1253629248
3147.2849687264,6627.4527467219,-0.3074277276,6316.725369148,-2005.5200125637
3187.1240189635,6628.9255977219,-0.2549700981,6414.6179874084,-1671.9242374429
3226.9630692005,7195.6374977222,-0.3276264874,6812.8928916825,-2315.5322163786
3266.8021194376,6918.3204816142,-0.2967791119,6615.8748221278,-2023.2050376218
3306.6411696746,6842.7112397969,-0.3260791547,6482.138615831,-2191.9343230114
3346.4802199117,6652.6679768417,-0.2656917184,6419.233192415,-1746.8361203879
3386.3192701487,6974.7868635611,-0.2800509341,6703.0586610298,-1927.8631639456
3426.1583203858,6773.5425999548,-0.3169246224,6436.2089248986,-2110.9462400683
3465.9973706228,6681.5682209414,-0.311714094,6359.5785837784,-2049.1740111181
3505.8364208598,6563.4357079656,-0.2948925276,6280.1143944667,-1907.5773863751
3545.6754710969,6806.1679429267,-0.3012991683,6499.5620050069,-2019.8058843348
3585.5145213339,6791.4810769396,-0.2988850722,6490.3833371781,-1999.7848271526
3625.353571571,6656.4668415122,-0.3389152299,6277.8195004171,-2213.0370833616
3665.192621808,6919.0123732311,-0.3018771539,6606.1351137672,-2057.1123157421
3705.0316720451,6403.3128771448,-0.3460623755,6023.6965055731,-2171.9797907335
3744.8707222821,6876.5128359459,-0.2951589708,6579.1443033843,-2000.3222285858
3784.7097725191,6484.4982145436,-0.339440263,6114.500416838,-2159.0742800807
3824.5488227562,6983.1414136408,-0.2969701306,6677.4717887076,-2043.4369366143
3864.3878729932,6713.8765042144,-0.321937003,6368.9465423893,-2124.3016862088
3904.2269232303,6714.2726829745,-0.3081991758,6397.9054358076,-2036.7286750574
3944.0659734673,6449.2442232382,-0.2904630303,6179.0942068258,-1847.037041898
3983.9050237044,6711.3695006115,-0.3314158391,6346.1542398455,-2183.7598168823
4023.7440739414,6449.470966483,-0.3181908508,6125.7266284414,-2017.7088543968
4063.5831241785,6544.0200478791,-0.3716225417,6097.3211984913,-2376.3149179921
4103.4221744155,6615.1079493282,-0.3063379266,6307.1371583057,-1994.912040062
4143.2612246525,6602.148068204,-0.3752693398,6142.6975621258,-2419.8400308169
4183.1002748896,6793.1395351332,-0.2992176865,6491.3025897933,-2002.4323787667
4222.9393251266,6566.9929670495,-0.3294486164,6213.8258097778,-2124.562410243
4262.7783753637,6652.5097468337,-0.2917538443,6371.3805812737,-1913.4773111501
4302.6174256007,6364.3740986062,-0.3222417573,6036.7860906691,-2015.5573329759
4342.4564758378,6396.5197906871,-0.3352776407,6040.3551307759,-2104.6556313947
4382.2955260748,6294.8411150502,-0.3369157737,5940.9371507423,-2080.9349904925
4422.1345763118,6425.7110259324,-0.3234371662,6092.5288842542,-2042.266873677
4461.9736265489,6371.1274697166,-0.3858263142,5902.7717865756,-2397.6134949122
4501.8126767859,6265.0079942819,-0.33271979,5921.4193971905,-2046.244729008
4541.651727023,6515.4155508352,-0.3291405574,6165.6712397966,-2105.9767241854
4581.49077726,6771.2296762604,-0.3422444101,6378.524152359,-2272.4394307532
4621.3298274971,6338.7377062771,-0.3801837333,5886.1294547755,-2352.2490834527
4661.1688777341,6295.2021422585,-0.3822797704,5840.7931078253,-2348.3410918086
4701.0079279711,6426.4178165377,-0.3112317697,6117.6739749276,-1967.9713131056
4740.8469782082,6729.2915892884,-0.3861147629,6233.8757421736,-2534.1978069612
4780.6860284452,6521.8633550085,-0.3232855712,6184.0097390829,-2071.8892751135
4820.5250786823,6350.1469979082,-0.3609761235,5940.8959925405,-2242.7932809018
4860.3641289193,6507.2952922583,-0.3164017841,6184.2806314631,-2024.7382773972
4900.2031791564,6297.7899140527,-0.3596619294,5894.8312662545,-2216.5563705741
4940.0422293934,6602.2915700565,-0.3782000495,6135.7127041331,-2437.8850646367
4979.8812796305,6342.8252380296,-0.3289883587,6002.6574569972,-2049.2768124733
5019.7203298675,6805.7287806521,-0.3585453058,6372.9408125283,-2388.2147382107
5059.5593801045,6407.4092279223,-0.2918634124,6136.4358245961,-1843.6508304658
5099.3984303416,6493.5724386119,-0.3603169193,6076.5885558416,-2289.4441549238
5139.2374805786,5858.3958052445,-0.3098516302,5579.4120892598,-1786.326439688
5179.0765308157,6101.650342547,-0.3325102841,5767.4380802641,-1991.6814235774
5218.9155810527,6160.6171513081,-0.3622607568,5760.7809389577,-2183.2559763647
5258.7546312898,6395.9822914997,-0.3831998141,5932.1009276198,-2391.3945842771
5298.5936815268,6573.065088019,-0.389806144,6079.9717834944,-2497.8246061817
5338.4327317638,6499.4052874854,-0.3393014158,6128.8573214331,-2163.1867752254
5378.2717820009,6404.7273247241,-0.3227672299,6073.9955753951,-2031.5289449448
5418.1108322379,6147.2884593912,-0.3088137378,5856.4896219376,-1868.3374189641
5457.949882475,6330.0967511037,-0.3430187525,5961.3284602305,-2129.0110069183
5497.788932712,6143.52236741,-0.3675893043,5733.1128363409,-2207.778133022
5537.6279829491,5998.4752873159,-0.3854168895,5558.4378504509,-2255.0996508391
5577.4670331861,6135.0481752869,-0.3640355189,5733.003728737,-2184.3727610871
5617.3060834231,6060.6598901571,-0.3306998741,5732.264988675,-1967.9269304956
5657.1451336602,6768.967865813,-0.3275119662,6409.1677419327,-2177.4973763884
5696.9841838972,5972.9189169803,-0.3942925476,5514.6082883743,-2294.5273619233
5736.8232341343,6335.0999194871,-0.3765057782,5891.3581119709,-2329.2467852078
5776.6622843713,5934.9975428463,-0.3618037078,5550.765219285,-2100.7620793339
5816.5013346084,6498.9145368663,-0.3554743453,6092.6121839656,-2261.8503339713
5856.3403848454,5916.4666310889,-0.3530731813,5551.5063781663,-2045.8138551607
5896.1794350825,6065.4868745715,-0.3947478258,5599.0119553793,-2332.637166196
5936.0184853195,5947.720736062,-0.3488761633,5589.4150548605,-2033.1800949943
5975.8575355565,6002.277091782,-0.3973577256,5534.6200422399,-2322.7809355528
6015.6965857936,6300.4990552975,-0.3564904245,5904.3702378028,-2198.7952248341
6055.5356360306,5862.6966846177,-0.4036222891,5391.5959912616,-2302.5866070224
6095.3746862677,6308.4627964338,-0.3769658404,5865.5190715593,-2322.1517769439
6135.2137365047,5931.1969759782,-0.3832224998,5500.9747839431,-2217.7407409964
6175.0527867418,6399.1233997589,-0.4035671676,5885.0563251168,-2512.9449527488
6214.8918369788,6010.0510854897,-0.3737376048,5595.1728178363,-2194.2550418631
6254.7308872158,6230.2963638949,-0.371514118,5805.2577497193,-2261.7637456831
6294.5699374529,6275.6652948565,-0.347015519,5901.5848089875,-2134.3082334552
6334.4089876899,6305.7615061058,-0.3872475225,5838.832572497,-2381.3152588922
6374.248037927,6112.518568965,-0.3737975366,5690.4331370842,-2232.0067133222
6414.087088164,5979.8530244526,-0.3740677439,5566.338278369,-2185.0675881582
6453.9261384011,5896.8861652792,-0.3284978063,5581.5681710056,-1902.4624040117
6493.7651886381,6196.4755114779,-0.3724012642,5771.7463036336,-2254.6071433482
6533.6042388752,6026.378292965,-0.3733853715,5611.1475873732,-2198.2397691414
6573.4432891122,6159.7850128375,-0.4331396058,5590.9440319364,-2585.4005949044
6613.2823393492,5794.8634345247,-0.3734488608,5395.4503973508,-2114.1327381502
6653.1213895863,6149.4480563321,-0.381095413,5708.2729234367,-2287.2104470481
6692.9604398233,5845.496485446,-0.3466253161,5497.8328541787,-1985.8658234823
6732.7994900604,6164.4570684804,-0.3927528228,5695.0889292972,-2359.3416532023
6772.6385402974,6060.5555614617,-0.385525737,5615.7159907732,-2279.0497196285
6812.4775905345,6030.7489250885,-0.3787615359,5603.3093122575,-2229.9904368909
6852.3166407715,5988.6016369082,-0.3577783977,5609.3861742407,-2097.173410526
6892.1556910085,5740.2252502807,-0.3671910768,5357.5784839053,-2060.7131563501
6931.9947412456,6034.8539926283,-0.3732488819,5619.3396993193,-2200.5644857616
6971.8337914826,5849.3500267461,-0.4287338478,5319.9419844268,-2431.6893341313
7011.6728417197,5811.7663605803,-0.4126868341,5323.8483297636,-2330.936977193
7051.5118919567,5850.5568050192,-0.40113614,5386.1277052291,-2284.4350005461
7091.3509421938,6062.0496711292,-0.4037038085,5574.7357360448,-2381.3373739358
7131.1899924308,6136.9403698365,-0.3850234576,5687.6526499172,-2304.9174468554
7171.0290426678,5956.3481677247,-0.3986877964,5489.1989108714,-2312.3102759029
7210.8680929049,5614.895419296,-0.3780892657,5218.3247348021,-2072.7126023122
7250.7071431419,5762.7517312405,-0.3930974624,5323.2094000835,-2207.4304516288
7290.546193379,5802.247339354,-0.4040143976,5335.1101266573,-2280.937115196
7330.385243616,6254.9610324389,-0.4351115873,5672.1426072263,-2636.5385945623
7370.2242938531,5817.5244341393,-0.4405871724,5261.959038161,-2481.003349962
7410.0633440901,6241.1549657741,-0.3955371034,5759.2738272013,-2404.7412106337
7449.9023943272,5942.1950175676,-0.3801087847,5518.0665674743,-2204.6820595559
7489.7414445642,6114.8429508448,-0.3773906078,5684.5374767676,-2253.2949182743
7529.5804948012,5735.2626876723,-0.394361827,5295.035110976,-2203.5973475518
7569.4195450383,5756.5151169171,-0.4065163213,5287.3814801705,-2276.194933314
7609.2585952753,5823.479797944,-0.3817156142,5404.3459784244,-2169.3228211933
7649.0976455124,5774.8325752837,-0.3964768774,5326.8628937861,-2230.0724166185
7688.9366957494,6145.5047184912,-0.3904943458,5682.8772829148,-2339.2592913845
7728.7757459865,5641.5850613295,-0.4454729014,5091.005852448,-2430.8725623852
7768.6147962235,5904.0947235466,-0.4212124856,5388.0406265581,-2413.99103378
7808.4538464605,5586.6864855573,-0.4239492529,5092.105370217,-2298.1576940053
7848.2928966976,6043.5013755272,-0.3964962816,5574.6450274878,-2333.9326668745
7888.1319469346,5792.1593435383,-0.3908290598,5355.3931297143,-2206.5525797376
7927.9709971717,5866.1587641284,-0.4307518911,5330.2971942968,-2449.4388064273
7967.8100474087,5614.809005099,-0.3857658345,5202.1797501638,-2112.6774507072
