Frequency25,Magnitude25,Phase25,Nyquist_Real25,Nyquist_Imag25
0,1991.3709430448,-3.1415926536,-1991.3709430448,-5.87458161557417E-013
39.839050237,19364.1604853947,-1.0478342997,9671.4001012355,-16776.0165529826
79.6781004741,7946.3905128197,-0.9817311459,4414.8874324909,-6607.1091364276
119.5171507111,8694.4705765096,-0.7299927599,6478.9388940551,-5798.0315118919
159.3562009482,9147.951329024,-0.7109966656,6931.5110259755,-5969.8549743669
199.1952511852,7698.1998345933,-0.456652985,6909.3912922294,-3394.4944637157
239.0343014223,7554.8601271252,-0.4858292821,6680.6723537419,-3527.6803203202
278.8733516593,6788.527929387,-0.4809797303,6018.3156576962,-3140.6986630997
318.7124018963,8237.9047856965,-0.515223977,7168.4796255969,-4059.0608662108
358.5514521334,7768.9332382501,-0.4933838523,6842.373603392,-3679.4357083649
398.3905023704,7407.4837581714,-0.3886791989,6854.9625537757,-2807.1879192364
438.2295526075,6644.2118299789,-0.364774554,6207.0506650715,-2370.2474307267
478.0686028445,6680.5424720221,-0.3676750009,6234.0522939865,-2401.2995890419
517.9076530816,6848.1598627258,-0.3844181598,6348.3591815614,-2568.1957104812
557.7467033186,6741.9435510685,-0.3921646461,6230.1216264436,-2576.7008684584
597.5857535557,6231.1240283279,-0.4107744114,5712.7684118907,-2488.2089398821
637.4248037927,6267.4120157296,-0.3484365943,5890.788517955,-2139.8747654107
677.2638540297,6193.9925136405,-0.356813642,5803.8610618381,-2163.5017989162
717.1029042668,6070.6507425868,-0.2862276039,5823.6710501576,-1713.9591412942
756.9419545038,6325.0666673107,-0.3560163825,5928.4389396303,-2204.5589320768
796.7810047409,5911.2470933103,-0.3472108525,5558.4960850037,-2011.4580460868
836.6200549779,6107.7969140338,-0.3256257852,5786.8365970447,-1953.8949158504
876.459105215,5336.6764364853,-0.3352481638,5039.5766785918,-1755.7853764998
916.298155452,5716.9015928916,-0.3193673106,5427.8221820148,-1794.9123051657
956.137205689,5735.7280899958,-0.3311811351,5424.0425751397,-1865.0305266777
995.9762559261,6113.6319759342,-0.2838081581,5869.0626471768,-1711.8994072898
1035.8153061631,5443.5318898705,-0.2843284217,5224.9754751151,-1526.9809168694
1075.6543564002,5699.2903047855,-0.3282817724,5394.9352447983,-1837.5482803605
1115.4934066372,5198.0219966112,-0.3153145759,4941.7536439697,-1611.9874687992
