Frequency22,Magnitude22,Phase22,Nyquist_Real22,Nyquist_Imag22
0,2117.2569724257,-3.1415926536,-2117.2569724257,-6.02874244701154E-013
39.839050237,11292.3176138548,-1.1641212933,4466.7635695663,-10371.328762785
79.6781004741,15725.3615950309,-1.1289088964,6724.8936634776,-14214.8796164228
119.5171507111,16109.0225196962,-0.9320980128,9603.4076106514,-12933.4902019432
159.3562009482,13483.3095411554,-0.6628142472,10628.4026990891,-8296.7880681989
199.1952511852,13565.0784309951,-0.6257177193,10995.079028045,-7944.7838237483
239.0343014223,13375.9098376442,-0.5145619489,11643.8417938061,-6583.0017670969
278.8733516593,12643.1551702419,-0.5190950678,10977.6529594886,-6272.2012212497
318.7124018963,11237.6670466182,-0.43804664,10176.6284342017,-4766.6963782945
358.5514521334,10430.9334654229,-0.4479603038,9401.7385677302,-4517.9292672788
398.3905023704,11505.0446763365,-0.363533385,10753.147018375,-4090.9512592688
438.2295526075,10362.303468634,-0.4161234352,9478.0133533904,-4188.626988527
478.0686028445,10029.4595216725,-0.4001868244,9237.0141234807,-3907.3812687638
517.9076530816,10346.0997341189,-0.3370563156,9763.9480869066,-3421.5635993693
557.7467033186,10261.698005735,-0.4418149382,9276.340206551,-4387.7053608043
597.5857535557,9272.9654903638,-0.3649597086,8662.2307577363,-3309.6294785375
637.4248037927,9747.2648742715,-0.3428996894,9179.8151241093,-3277.2193726361
677.2638540297,10550.6415293672,-0.3470340363,9921.671386278,-3588.3803566401
717.1029042668,9065.0382112243,-0.3551405229,8499.3583895698,-3152.114327972
756.9419545038,9741.9189948171,-0.28118109,9359.3379289706,-2703.2904455331
796.7810047409,9478.3356441284,-0.3271790965,8975.5352677752,-3046.0816206529
836.6200549779,9259.3715172033,-0.2787352626,8901.9985446637,-2547.6229713993
876.459105215,8822.3407682086,-0.3066537135,8410.770186901,-2663.2013618074
916.298155452,9887.9704574992,-0.3330219552,9344.7133149708,-3232.3819126744
956.137205689,8864.275421139,-0.2636125405,8558.0586751554,-2309.7641555809
995.9762559261,8875.5737532348,-0.3392655549,8369.6601844655,-2953.7430229598
1035.8153061631,9013.3518404305,-0.1945234587,8843.3590865812,-1742.2719263001
1075.6543564002,8715.2839748042,-0.2522307556,8439.5159495401,-2175.0276547521
1115.4934066372,8358.9452281966,-0.2604142613,8077.1099878566,-2152.2684711851
1155.3324568743,8206.4735386747,-0.2619595561,7926.5044358971,-2125.2612471579
1195.1715071113,8478.5523871661,-0.2489319206,8217.2104724213,-2088.8519894547
1235.0105573484,7909.5930574447,-0.3175352375,7514.1756202216,-2469.5803454928
1274.8496075854,8287.1879756731,-0.2413131838,8047.0666228163,-1980.4553294877
1314.6886578224,8061.2711074026,-0.2783505592,7750.9924844609,-2214.9960209615
1354.5277080595,8037.5712908114,-0.2977970518,7683.7990870705,-2358.3434534456
1394.3667582965,7665.777060279,-0.2397013532,7446.6042201552,-1819.9515175596
1434.2058085336,8004.571426081,-0.32000428,7598.2119273219,-2518.0030227812
1474.0448587706,7562.366766393,-0.2912375011,7243.9100242209,-2171.441611105
1513.8839090077,7949.4060671316,-0.2826871421,7633.8890730402,-2217.3845946666
1553.7229592447,8038.1806338113,-0.2701922068,7746.5523133271,-2145.5244483963
1593.5620094818,7840.0276625673,-0.3243726975,7431.1768302915,-2498.7286100654
1633.4010597188,7770.2932699665,-0.2511642106,7526.4904880088,-1931.1650460798
1673.2401099558,7583.5010825185,-0.3151308501,7210.0578755706,-2350.4370018111
1713.0791601929,7660.2851555434,-0.2807630129,7360.3412946561,-2122.5797253389
1752.9182104299,7846.737173179,-0.2870467841,7525.6814426916,-2221.5767121746
1792.757260667,7668.4925566334,-0.3104782942,7301.8431640156,-2342.8325802882
1832.596310904,7527.0494387797,-0.343066181,7088.4309836799,-2531.9201100036
1872.4353611411,7758.9543643932,-0.231842629,7551.3609358617,-1782.7845761837
1912.2744113781,7404.9741113395,-0.3137257494,7043.5402183314,-2285.2095707739
1952.1134616151,7775.3203469315,-0.3246247754,7369.2190368208,-2479.9631619774
1991.9525118522,7307.1240403857,-0.2316931368,7111.8703967915,-1677.9038115528
2031.7915620892,7459.3601885818,-0.3362214845,7041.695832615,-2461.0108134528
2071.6306123263,7643.9441029115,-0.3131783099,7272.1364745265,-2354.9761239333
2111.4696625633,7090.9655894603,-0.2463099691,6876.9513941416,-1728.968627108
2151.3087128004,7458.9101186763,-0.3147719001,7092.4316615392,-2309.2754891715
2191.1477630374,7616.2981111917,-0.323860583,7220.3567581565,-2423.7254802239
2230.9868132744,6928.4752634312,-0.2969300428,6625.2797833304,-2027.1747010485
2270.8258635115,7523.3891029268,-0.3119758259,7160.2273514364,-2309.2266821991
2310.6649137485,7727.0583565848,-0.2874830217,7409.9443245474,-2190.9258210115
2350.5039639856,7210.3840662583,-0.3119628085,6862.3601996422,-2213.0636848761
2390.3430142226,7654.0288174844,-0.3042481497,7302.498091141,-2292.9628797179
2430.1820644597,7503.8427075188,-0.2791108045,7213.4499417889,-2067.3159691951
2470.0211146967,7534.474342706,-0.3619613664,7046.2711844676,-2668.0266145292
2509.8601649338,7294.3305677549,-0.2491486935,7069.1012411049,-1798.6289430268
2549.6992151708,7598.2097471015,-0.2997398341,7259.4309606597,-2243.5359342707
2589.5382654078,7577.8459073273,-0.2985428661,7242.6481328092,-2228.855450565
2629.3773156449,7191.0074346371,-0.2565972443,6955.5678393012,-1825.0106733618
