Frequency13,Magnitude13,Phase13,Nyquist_Real13,Nyquist_Imag13
0,5272.6362235955,-3.1415926536,-5272.6362235955,-9.89283992671335E-013
39.839050237,41231.6029436095,-0.3982219996,38005.3093316749,-15988.7943229991
79.6781004741,206466.552743655,0.3892875791,191018.659049306,78360.1256817113
119.5171507111,76336.6730728603,0.0689724529,76155.1706612992,5260.9540371635
159.3562009482,257246.659024609,0.8701631135,165847.40117752,196648.120006233
199.1952511852,169557.341366633,-0.8944542993,106133.482528669,-132232.280089461
239.0343014223,65343.5105356595,-0.2736989445,62911.2735161945,-17661.9940463814
278.8733516593,54174.850529582,-0.2072078985,53016.0040423154,-11145.301489316
318.7124018963,53816.6994685215,0.1218658005,53417.5705432469,6542.1937408184
358.5514521334,96212.3962043642,-0.8869402089,60785.7174659219,-74578.2926563667
398.3905023704,57713.7640142102,-0.5974162384,47717.2645210045,-32464.4609276117
438.2295526075,99778.9468385719,-0.8042036304,69215.1650039256,-71868.624348139
478.0686028445,62880.119082123,-0.2464933419,60979.5061015655,-15343.0509153529
517.9076530816,243765.75131657,-0.4533451793,219142.248611505,-106763.366322091
557.7467033186,71083.2385484467,-0.452036238,63943.6055752226,-31049.0274980672
597.5857535557,59958.3196482887,-0.5199478138,52034.5344377919,-29789.3826872698
637.4248037927,37761.4078600527,-0.473602279,33605.0506418318,-17222.7899869091
677.2638540297,59524.3694658334,-0.6110679656,48752.5864569664,-34151.6599019881
717.1029042668,64571.4241922162,-1.0939523607,29636.8304842267,-57368.3458107372
756.9419545038,56331.2730672957,-0.973647451,31674.3452034443,-46582.7025978021
796.7810047409,63557.3097432486,-0.9776851528,35524.946882076,-52702.085070943
836.6200549779,52437.7405103564,-0.2388581486,50948.9681734202,-12406.4205915847
876.459105215,115683.609973872,-0.8095304488,79803.0018301947,-83750.6926268482
916.298155452,43456.180332931,-0.5231550415,37643.7939084089,-21711.3884703271
956.137205689,39077.7528600189,-1.0257065353,20261.6144515185,-33414.6337464101
995.9762559261,31784.5040873118,-0.6634935249,25041.2777546948,-19575.2166907182
1035.8153061631,47686.6574596117,-0.9694954621,26977.0881971236,-39322.4364971826
1075.6543564002,68785.392938763,-1.0731747938,32833.8050812428,-60443.1263720448
1115.4934066372,49340.1850139914,-1.0887373776,22874.3304672569,-43717.4892107224
1155.3324568743,54056.5704577395,-0.9940947759,29474.9899964073,-45313.7702510423
1195.1715071113,36904.9130039749,-0.7173863311,27808.8326050463,-24261.9338259643
1235.0105573484,52363.5216607122,-0.7797547038,37234.9686509151,-36817.0546116504
1274.8496075854,31823.5258573229,-0.7333800006,23642.2106819475,-21302.1752894418
1314.6886578224,38698.442989661,-1.2075336126,13750.5597277978,-36173.0783455915
1354.5277080595,27493.558630531,-0.8753609873,17615.6658192127,-21108.8626864704
1394.3667582965,44231.2281597123,-1.2393545377,14393.1373132141,-41823.9063550919
1434.2058085336,47026.3688223757,-0.8340511889,31596.1110505192,-34830.5201095442
1474.0448587706,41205.2873995153,-1.3470865707,9141.3293320645,-40178.4993213957
1513.8839090077,41013.0334157682,-0.9000226581,25493.3824670937,-32127.1903587818
1553.7229592447,27070.7930762175,-1.0582304969,13275.9216703537,-23591.8999145473
1593.5620094818,36102.5327517676,-0.776431498,25756.2205484501,-25298.4184120677
1633.4010597188,25623.8776823549,-1.0275883334,13244.5945621571,-21935.4467099342
1673.2401099558,43397.9713965795,-1.0937029223,19928.3091088101,-38551.8665877808
1713.0791601929,27455.2711781362,-1.1800819953,10456.3128390811,-25386.1662579497
1752.9182104299,33430.0590251387,-1.335860518,7781.8677977667,-32511.7114283813
1792.757260667,28647.6217813704,-0.9762793759,16045.7808403679,-23732.2386417996
1832.596310904,41528.7717960942,-1.2247804506,14084.5875531994,-39067.4196786572
1872.4353611411,31476.3890798192,-0.9248915317,18946.3063244256,-25135.6429431434
1912.2744113781,26627.2967803073,-1.2441398158,8544.1174872428,-25219.2583196009
1952.1134616151,24357.2129054997,-1.0043864346,13070.2281065326,-20553.4171798036
1991.9525118522,23295.609417814,-1.2194088356,8018.3685253731,-21872.1554570795
2031.7915620892,31515.0739296786,-1.0655799269,15253.1954586142,-27577.8881188248
2071.6306123263,26999.5899257264,-1.2560368082,8358.7440083881,-25673.1231983883
2111.4696625633,33771.9242935407,-1.2840898294,9550.5212413647,-32393.3699158777
2151.3087128004,22451.9448554546,-1.1376452695,9423.8206267935,-20378.4551079418
2191.1477630374,29695.2963387274,-1.0505144259,14762.266980046,-25765.987236174
2230.9868132744,22854.9768187674,-1.0232081109,11898.9775681687,-19513.1826778363
2270.8258635115,27730.9167893954,-1.274569269,8095.0340396586,-26523.0874876426
2310.6649137485,19286.6551301494,-1.2392267134,6278.3375790853,-18236.1603237184
2350.5039639856,22498.007792633,-1.3394579693,5158.3529623331,-21898.6700361772
2390.3430142226,21710.972440252,-1.0727873391,10370.838953056,-19073.8570748331
2430.1820644597,27597.1110339069,-1.2182487909,9529.0003392365,-25899.7816583966
2470.0211146967,26879.796343846,-1.0566585383,13219.0615513419,-23404.697459879
2509.8601649338,21402.9101447506,-1.3272148664,5161.9517914871,-20771.1053236613
2549.6992151708,19090.7951689435,-1.1159427499,8387.1739874993,-17149.7455574703
2589.5382654078,18245.7213381736,-1.16517355,7199.5988800998,-16765.2057284112
2629.3773156449,22826.7158589196,-1.1339349913,9657.9300613356,-20682.9239672296
2669.2163658819,20829.0698802408,-1.3325912577,4914.801499308,-20240.9208856306
2709.055416119,22156.4458466726,-1.3966920162,3838.0737901186,-21821.4867077874
2748.894466356,19241.8032407263,-1.2137240529,6725.639013355,-18028.110600306
2788.7335165931,19550.2871530529,-1.0985933126,8892.4348637185,-17410.8681564519
2828.5725668301,17596.5665097023,-1.0707780765,8436.5252047266,-15442.285951257
2868.4116170671,21128.4728910061,-1.3072205286,5504.6964694718,-20398.7912260742
2908.2506673042,17074.1044217415,-1.3150404352,4319.352043939,-16518.723913337
2948.0897175412,17549.162910952,-1.3226804961,4309.6870337309,-17011.7523067562
2987.9287677783,16085.1866268417,-1.2568262182,4967.7022311754,-15298.8615054422
3027.7678180153,21576.2086295038,-1.1796697906,8225.500543872,-19946.7771739355
3067.6068682524,19662.3282332071,-1.2621455565,5972.8931339904,-18733.1710919509
3107.4459184894,18400.286916643,-1.1947418714,6757.5698463226,-17114.491181068
3147.2849687264,14602.5810421671,-1.3108295558,3753.5706701442,-14111.9127093847
3187.1240189635,14631.1214430665,-1.238764204,4769.2310466254,-13831.9973216331
3226.9630692005,17742.1796279066,-1.3270857908,4281.2796055474,-17217.8855521818
3266.8021194376,19173.1891750298,-1.2916889109,5282.1698214475,-18431.2198489104
3306.6411696746,17995.052217871,-1.2793698018,5170.318473402,-17236.2905292148
3346.4802199117,14203.8810607662,-1.2845703843,4010.234716065,-13626.0138966045
3386.3192701487,14485.3031307719,-1.1854392307,5444.8815913584,-13423.0127485016
3426.1583203858,14952.4596688797,-1.3075390635,3891.0332612183,-14437.3096631459
3465.9973706228,15311.3464585054,-1.2529674508,4784.8709936337,-14544.4951767557
3505.8364208598,16289.200727458,-1.3956919215,2837.7570901529,-16040.1120643437
3545.6754710969,14559.2918167063,-1.3016206512,3871.8527324662,-14035.0181553892
3585.5145213339,15159.7620814375,-1.2404883493,4916.831926796,-14340.2632531426
3625.353571571,13811.6716788398,-1.2112500425,4859.6306853719,-12928.50587523
3665.192621808,15151.9073396913,-1.322273028,3726.9585269341,-14686.3908489835
3705.0316720451,13534.046205756,-1.4390545146,1777.8466515357,-13416.76816462
3744.8707222821,13872.6862471683,-1.3913167296,2476.5180189497,-13649.8455014769
3784.7097725191,13855.7661562986,-1.3280878549,3329.9922080917,-13449.6619909973
3824.5488227562,13320.8446466618,-1.2225617847,4545.5897207093,-12521.2825298162
3864.3878729932,14957.8328695463,-1.2292242991,5010.4060685687,-14093.7076449503
3904.2269232303,12379.3042191118,-1.3579261902,2615.3275674975,-12099.885729378
3944.0659734673,13456.8438497737,-1.344111462,3024.4046755224,-13112.5749857101
3983.9050237044,12498.6788951341,-1.4195703113,1882.9293319191,-12356.0329901902
4023.7440739414,14251.042383882,-1.2835572353,4037.3989016702,-13667.1730484396
4063.5831241785,14321.4133788211,-1.3251964137,3482.0838045094,-13891.6512173841
4103.4221744155,13737.5674271219,-1.3425226226,3108.7613457703,-13381.1943304686
4143.2612246525,11988.2601179251,-1.3146964786,3036.7406392248,-11597.266356565
4183.1002748896,10936.140440219,-1.3696778079,2184.6627896433,-10715.708853069
4222.9393251266,11430.8651011029,-1.3066287736,2984.6650553978,-11034.3305853458
4262.7783753637,13009.8045717413,-1.4039597533,2160.4560589729,-12829.1638313706
4302.6174256007,13674.4128855123,-1.248748602,4328.0839458,-12971.4015095353
4342.4564758378,13480.3003749007,-1.3883450641,2445.8750343706,-13256.5528518462
4382.2955260748,10855.6106282311,-1.2703027784,3213.1703775375,-10369.1763528585
4422.1345763118,10800.6128048459,-1.3254074401,2623.8315344077,-10477.0580335917
4461.9736265489,11129.4041107895,-1.2982096389,2996.2973061368,-10718.4811570715
4501.8126767859,12250.8442418936,-1.4612180371,1339.7416629388,-12177.367404974
4541.651727023,12316.3104491129,-1.3707129719,2447.8793068484,-12070.6002327155
4581.49077726,11292.7078740933,-1.3833380557,2104.5350023834,-11094.8719484883
4621.3298274971,10493.2901660985,-1.2267068799,3539.8027062597,-9878.205065228
4661.1688777341,9509.9931302643,-1.3165684252,2391.7461758366,-9204.3207010645
4701.0079279711,10661.1058325462,-1.2989767741,2862.3430137282,-10269.6723435809
4740.8469782082,10392.9757768676,-1.4338707308,1418.6218205711,-10295.7009294538
4780.6860284452,12218.3276772056,-1.3876717217,2224.9918954395,-12014.0310592572
4820.5250786823,10670.118395544,-1.4371477572,1421.8045263291,-10574.9656483526
4860.3641289193,11318.5107841728,-1.265754715,3399.3207848378,-10795.9855767413
4900.2031791564,9155.2046546704,-1.29599,2484.3612414592,-8811.6809685118
4940.0422293934,10532.4670492605,-1.324826961,2564.6202178908,-10215.4581532961
4979.8812796305,9494.6904803596,-1.4645175047,1007.1859592525,-9441.1187769944
5019.7203298675,11441.0997761409,-1.422452371,1691.0000355357,-11315.4444440963
5059.5593801045,9655.3939194845,-1.3956163099,1682.7942129231,-9507.6198586908
5099.3984303416,10565.7437673936,-1.3075660511,2749.2161558969,-10201.8014039861
5139.2374805786,9145.656163489,-1.3449993382,2047.5586853779,-8913.5026836086
5179.0765308157,10062.158553757,-1.3419993788,2282.1578073156,-9799.9382907982
5218.9155810527,9165.3859087351,-1.4139655655,1431.5292782218,-9052.9013460677
5258.7546312898,10194.1396233985,-1.4465232446,1263.5988204414,-10115.5227587269
5298.5936815268,9303.5004646163,-1.4199793168,1397.8129714414,-9197.8932257331
5338.4327317638,10364.2813872778,-1.3699123527,2068.0431730392,-10155.8616625631
5378.2717820009,8457.9446954114,-1.3356984558,1970.1781198148,-8225.2797306135
5418.1108322379,9633.804687776,-1.3204026458,2387.115978883,-9333.3739915196
5457.949882475,8609.7863576769,-1.3864113298,1578.5353648298,-8463.8435256579
5497.788932712,10420.6542235624,-1.3939607823,1833.1530624561,-10258.147215587
5537.6279829491,8920.7793326251,-1.4553173157,1027.8746962288,-8861.3643142715
5577.4670331861,9303.9781094756,-1.4020075401,1562.9610651278,-9171.7589027676
5617.3060834231,8433.4960159399,-1.3645544996,1727.0351572873,-8254.768598596
5657.1451336602,8685.9454141235,-1.3307018338,2065.4692654315,-8436.7934934246
5696.9841838972,8666.8159724241,-1.3396829215,1985.233584056,-8436.3823239942
5736.8232341343,9282.0312494441,-1.4566729216,1056.9991032029,-9221.6515338352
5776.6622843713,8299.1802173993,-1.4283336426,1178.3282161674,-8215.1040709084
5816.5013346084,9145.2549530616,-1.4130736887,1436.4408207581,-9031.7399168132
5856.3403848454,7778.2858564567,-1.3476673931,1721.1951815192,-7585.4609623852
5896.1794350825,8416.8990643481,-1.2925142594,2312.1576343624,-8093.0906910329
5936.0184853195,8206.3258362491,-1.3901136723,1474.6862474999,-8072.7370948226
5975.8575355565,8497.2567380893,-1.409956646,1360.8110771711,-8387.5839957197
