V_17,I_17
0.0029003843,-3.94986145261822E-006
-0.0009667948,-7.27212199144832E-007
0.0054785037,-0.000006528
-0.004511709,0.00000314
-0.0022558545,5.61847505004863E-007
-0.0012890597,2.395825788193E-007
0.0009667948,-2.01627190171589E-006
-0.0032226493,2.17317213741591E-006
-0.0025781194,1.8509072107358E-006
-0.0012890597,-8.26823472674768E-008
-0.0032226493,1.8509072107358E-006
-0.0025781194,1.52864228415468E-006
-0.0029003843,1.8509072107358E-006
-0.004189444,2.49543706419505E-006
-0.0022558545,5.61847505004863E-007
0.0012890597,-2.66080175241024E-006
-0.0006445299,2.395825788193E-007
-0.0006445299,-7.27212199144832E-007
0.004189444,-5.5611860756677E-006
0.0019335896,-2.98306667760976E-006
-0.004189444,2.81770199107327E-006
0.004189444,-5.23892115125408E-006
0.0009667948,-2.33853682711229E-006
0.0009667948,-2.66080175241024E-006
0.0022558545,-4.27212637742447E-006
0.0019335896,-3.94986145261822E-006
-0.0003222649,-1.37174205062753E-006
-0.0016113246,2.395825788193E-007
-0.0016113246,-8.26823472674768E-008
-0.0003222649,-1.04947712493549E-006
-0.0067675635,5.39582140967045E-006
-0.0032226493,2.17317213741591E-006
-0.0029003843,1.52864228415468E-006
-0.0029003843,1.8509072107358E-006
-0.0074120933,6.362616193284E-006
-0.0035449142,2.17317213741591E-006
-0.0009667948,-8.26823472674768E-008
-0.0025781194,8.84112431289255E-007
0.0058007687,-6.20571592420083E-006
0.0058007686,-6.85024577234206E-006
0.0032226493,-4.5943913021325E-006
0.0019335896,-2.33853682711229E-006
0.0003222649,-0.000001694
0.0019335896,-2.98306667760976E-006
-0.0009667948,-1.04947712493549E-006
-0.0006445299,-4.04947273255507E-007
-0.0038671791,2.49543706419505E-006
-0.0012890597,-4.04947273255507E-007
-0.0012890597,-8.26823472674768E-008
-0.0003222649,-4.04947273255507E-007
-0.0022558545,8.84112431289255E-007
0.0006445299,-0.000001694
-0.0003222649,-1.04947712493549E-006
-0.0012890597,-4.04947273255507E-007
-0.0022558545,8.84112431289255E-007
0.0009667948,-2.66080175241024E-006
-0.0016113246,8.84112431289255E-007
-0.004511709,0.000004429
-0.0009667948,-8.26823472674768E-008
0,-4.04947273255507E-007
0,-4.04947273255507E-007
0.0048339739,-5.23892115125408E-006
-0.0029003843,2.49543706419505E-006
0,-1.04947712493549E-006
0.0009667948,-7.27212199144832E-007
0.0003222649,-4.04947273255507E-007
0.0003222649,-4.04947273255507E-007
0.0035449142,-2.98306667760976E-006
