Frequency31,Magnitude31,Phase31,Nyquist_Real31,Nyquist_Imag31
0,1909.5542078335,-3.1415926536,-1909.5542078335,-5.77438832178547E-013
39.839050237,6161.7625252579,-1.5885885924,-109.6259311741,-6160.7872526883
79.6781004741,5664.6708393126,-0.8794171991,3611.7953919272,-4363.8778356654
119.5171507111,7050.1051826391,-0.6361275273,5671.1212544844,-4188.3608730875
159.3562009482,6400.5845186004,-0.5842543925,5338.8784604718,-3530.419091844
199.1952511852,5748.4477907971,-0.5752778554,4823.1843174058,-3127.5461697393
239.0343014223,6065.9739911444,-0.4677442712,5414.4132130758,-2734.9899486674
278.8733516593,5379.5337478677,-0.4979231799,4726.3311205205,-2569.2756729566
318.7124018963,5367.1602616495,-0.4532949298,4825.1255738692,-2350.4409098344
358.5514521334,5269.3212488683,-0.3318505757,4981.832655473,-1716.7090075599
398.3905023704,5266.1254569168,-0.3698647829,4910.0102195577,-1903.6483319737
438.2295526075,5623.3026129777,-0.3967307122,5186.5361447703,-2172.8725448385
478.0686028445,5347.5099856332,-0.3216113888,5073.3286937789,-1690.325120007
517.9076530816,5203.1499238164,-0.3407133515,4904.0548224326,-1738.6820952336
557.7467033186,5250.108937723,-0.2603635459,5073.16164797,-1351.5453198191
597.5857535557,4842.5779135085,-0.2314724917,4713.4246392065,-1110.9406009873
637.4248037927,5038.6317609111,-0.2561526765,4874.2307575028,-1276.5909856629
677.2638540297,4939.1635579752,-0.215290224,4825.1401741859,-1055.1582591669
717.1029042668,4779.6871271719,-0.252732004,4627.8503188853,-1195.1612693046
756.9419545038,4784.9051787864,-0.2120966316,4677.6835966532,-1007.2704401391
796.7810047409,4513.7737118402,-0.2236398924,4401.365643302,-1001.0662294079
836.6200549779,4578.892841859,-0.2279183156,4460.4774633893,-1034.6015927998
876.459105215,4390.8236812861,-0.190715258,4311.2132228805,-832.3299508028
916.298155452,4477.8644457793,-0.2382374156,4351.3891202185,-1056.7320943447
956.137205689,4760.2036253695,-0.2228016581,4642.5419369376,-1051.828369439
995.9762559261,4308.0760940743,-0.2292318765,4195.3820907186,-978.9222365503
1035.8153061631,4394.3954763107,-0.2414131979,4266.9627717178,-1050.5904563596
1075.6543564002,4421.7545983267,-0.1736947449,4355.2202603299,-764.1794369354
1115.4934066372,4423.8809110143,-0.2235536967,4313.7960271869,-980.7579470303
1155.3324568743,4449.2945257408,-0.1943576254,4365.5229318276,-859.320259551
1195.1715071113,4342.9621414639,-0.2008337442,4255.6711986979,-866.361824391
1235.0105573484,4314.6386737777,-0.2144068997,4215.8453513344,-918.0168075206
1274.8496075854,4255.3196357997,-0.2091576233,4162.5799207856,-883.5573585766
1314.6886578224,4198.9561520677,-0.1777655837,4132.7859066778,-742.5048259457
1354.5277080595,4160.074449921,-0.1927727791,4083.0165456502,-796.9914157835
1394.3667582965,4268.0226903847,-0.1683887946,4207.6560976691,-715.2956377514
1434.2058085336,4193.2268452675,-0.1817165088,4124.1851039932,-757.7919265024
1474.0448587706,4067.5960271425,-0.1866768411,3996.9273211996,-754.9234590829
1513.8839090077,3974.1409351028,-0.188718698,3903.5817090398,-745.5508117554
1553.7229592447,3933.5049347661,-0.1663136108,3879.2294137501,-651.1837124231
1593.5620094818,4131.1964175411,-0.1990726959,4049.6068718516,-816.9871625409
1633.4010597188,4019.4561293583,-0.1861656588,3950.004606095,-743.9698835735
1673.2401099558,3953.9104681384,-0.2188521842,3859.5990034564,-858.4308490338
1713.0791601929,3974.4712602666,-0.1976425735,3897.0970582488,-780.4206027996
1752.9182104299,3925.88717466,-0.2252790718,3826.6870975766,-876.9583601291
1792.757260667,3964.4686693756,-0.1940795294,3890.038189689,-764.601015708
1832.596310904,3967.0108024664,-0.2012760326,3886.9258653071,-793.0838697716
1872.4353611411,3941.5183730717,-0.2086163733,3856.0599842947,-816.3139609139
1912.2744113781,3938.575473728,-0.2053672131,3855.8109024777,-803.1805815541
1952.1134616151,3854.3226312425,-0.2241913489,3757.8651375394,-856.885379601
1991.9525118522,3862.5640677934,-0.2334344524,3757.8023543426,-893.4890281958
2031.7915620892,3767.3316948985,-0.1774856319,3708.1496588989,-665.1422453841
2071.6306123263,3967.1983413693,-0.2135508474,3877.0816110616,-840.7739654217
2111.4696625633,3946.8812802709,-0.2164474774,3854.7869439881,-847.6375740914
2151.3087128004,3748.2210465097,-0.2488692414,3632.7441896855,-923.2175614688
2191.1477630374,3907.4789696519,-0.2242180641,3809.6679873387,-868.8047677805
2230.9868132744,3862.0804838178,-0.1918959146,3791.189718261,-736.5773439623
2270.8258635115,3857.11971531,-0.2443562313,3742.537317202,-933.1596474259
