V_29,I_29
0.1959370822,-6.26020761898464E-005
0.1936812272,-6.35688709123775E-005
0.1933589622,-6.35688709123775E-005
0.1933589623,-6.29243410974476E-005
0.1894917833,-5.97016920173429E-005
0.1898140484,-5.93794271088314E-005
0.1920699026,-6.22798112821544E-005
0.1930366974,-6.29243410974476E-005
0.1956148166,-6.55024603549911E-005
0.2007710551,-0.000070981
0.1930366973,-6.32466060049579E-005
0.1952925519,-6.45356656340921E-005
0.1952925517,-6.55024603549911E-005
0.1956148166,-6.55024603549911E-005
0.1981929358,-6.84028445128067E-005
0.1972261413,-6.64692550750759E-005
0.1985152008,-6.84028445128067E-005
0.1988374656,-6.90473743246623E-005
0.1965816114,-0.000066147
0.2004487902,-7.03364339472933E-005
0.1994819955,-6.9369639230455E-005
0.1972261412,-6.71137848880138E-005
0.1988374658,-6.80805796067438E-005
0.1708004185,-4.10103271715732E-005
0.1911031078,-6.16352814664977E-005
0.1959370815,-0.000066147
0.1965816114,-6.64692550750759E-005
0.1933589623,-6.29243410974476E-005
0.1930366974,-6.29243410974476E-005
0.1936812272,-6.35688709123775E-005
0.1927144324,-6.29243410974476E-005
0.1927144323,-6.32466060049579E-005
0.1898140482,-6.03462218340922E-005
0.2014155847,-0.00007227
0.2007710551,-0.000070981
0.1952925518,-6.4857930541149E-005
0.197870671,-6.77583147005907E-005
0.1975484061,-6.71137848880138E-005
0.1991597305,-6.9369639230455E-005
0.1965816115,-6.58247252617765E-005
0.1962593464,-0.000066147
0.1969038763,-6.679151998159E-005
0.1959370815,-0.000066147
0.1930366973,-6.32466060049579E-005
0.1940034918,-6.51801954481153E-005
0.1933589622,-6.35688709123775E-005
0.1962593465,-6.58247252617765E-005
0.1946480219,-6.45356656340921E-005
0.2001265253,-7.00141690417705E-005
0.2043159691,-7.3881347902122E-005
0.1956148167,-6.51801954481153E-005
0.1959370815,-6.58247252617765E-005
0.194325757,-6.42134007269445E-005
0.1956148167,-6.51801954481153E-005
0.1962593464,-6.64692550750759E-005
0.1923921674,-6.29243410974476E-005
0.1930366974,-6.29243410974476E-005
0.1936812273,-6.32466060049579E-005
0.1920699027,-6.19575463743715E-005
0.1975484061,-6.71137848880138E-005
0.1975484062,-6.679151998159E-005
0.1969038765,-6.55024603549911E-005
0.1962593466,-6.55024603549911E-005
0.2010933202,-7.00141690417705E-005
0.1978706714,-6.58247252617765E-005
0.2023823799,-0.000070981
0.2017378501,-7.03364339472933E-005
0.2001265257,-6.80805796067438E-005
0.198837466,-6.71137848880138E-005
0.199159731,-6.679151998159E-005
0.1985152013,-6.58247252617765E-005
0.1946480225,-0.000061313
0.1920699033,-5.84126323827492E-005
0.1917476384,-5.80903674738724E-005
0.1927144332,-5.87348972915346E-005
0.2130171224,-7.83930565562618E-005
0.1978706721,-6.22798112821544E-005
0.1927144334,-5.77681025649043E-005
0.1988374667,-6.35688709123775E-005
0.1959370827,-5.97016920173429E-005
0.1978706723,-6.09907516504771E-005
0.2001265267,-6.29243410974476E-005
0.2036714408,-0.000066147
0.2010933216,-6.29243410974476E-005
0.2049605005,-6.71137848880138E-005
0.1981929377,-5.90571622002286E-005
0.2020601166,-6.29243410974476E-005
0.2001265272,-6.03462218340922E-005
0.204638236,-6.45356656340921E-005
0.2030269117,-6.19575463743715E-005
0.2030269118,-0.000061313
0.2023823821,-6.03462218340922E-005
0.2020601173,-5.93794271088314E-005
0.2030269122,-5.93794271088314E-005
0.2039937071,-5.97016920173429E-005
0.2065718265,-6.16352814664977E-005
0.205282767,-5.97016920173429E-005
0.2001265285,-5.4223188560209E-005
0.2068940918,-5.97016920173429E-005
0.2075386218,-5.97016920173429E-005
0.2085054168,-5.93794271088314E-005
0.2197846887,-7.00141690417705E-005
0.2027046487,-5.22895990984186E-005
0.2059272978,-5.55122481995639E-005
0.2078608874,-0.000056479
0.2068940928,-5.48677183800701E-005
0.2117280667,-5.84126323827492E-005
0.2097944775,-5.55122481995639E-005
0.2120503321,-5.68013078374508E-005
0.2155952463,-5.93794271088314E-005
0.2172065711,-5.97016920173429E-005
0.2162397764,-5.84126323827492E-005
0.2172065715,-5.80903674738724E-005
0.2149507174,-5.45454534701855E-005
0.2168843069,-5.61567780186907E-005
0.2139839231,-5.1645069277085E-005
0.2149507179,-5.19673341877979E-005
0.2165620427,-5.26118640089471E-005
0.2149507184,-4.97114798108694E-005
0.2197846922,-5.39009236501406E-005
0.2188178977,-5.19673341877979E-005
0.2194624278,-5.13228043662799E-005
0.2175288386,-4.84224201648766E-005
0.2184956335,-4.84224201648766E-005
0.2188178987,-4.74556254294094E-005
0.2168843095,-4.45552412179944E-005
0.2207514886,-4.77778903413245E-005
0.2259077274,-5.1645069277085E-005
0.2210737543,-4.45552412179944E-005
0.2246186685,-4.71333605174016E-005
0.2323530267,-5.35786587399802E-005
0.2320307621,-5.19673341877979E-005
0.2333198222,-5.13228043662799E-005
0.2365424715,-5.39009236501406E-005
0.2310639683,-4.71333605174016E-005
0.2378315318,-5.22895990984186E-005
0.2346088831,-4.74556254294094E-005
0.2391205922,-5.06782745443928E-005
0.2375092679,-4.81001552531469E-005
0.2329975594,-4.22993868261245E-005
0.235575679,-4.35884464791811E-005
0.2365424743,-4.22993868261245E-005
0.2336420903,-3.87544727725041E-005
0.2346088853,-3.84322078579763E-005
0.2342866208,-3.64986183688358E-005
0.2362202105,-3.74654131138292E-005
0.2384760654,-3.77876780286388E-005
0.2352534167,-3.29537042966027E-005
0.2449213645,-4.10103271715732E-005
0.2384760665,-0.000033276
0.2452436301,-3.87544727725041E-005
0.2523334589,-4.32661815660569E-005
0.2513666645,-4.10103271715732E-005
0.2368647437,-2.45748164439082E-005
0.2584564934,-4.48775061307458E-005
0.2587787589,-4.32661815660569E-005
0.256522905,-3.90767376869381E-005
0.2549115808,-3.61763534536498E-005
0.255556111,-3.55318236229952E-005
0.2539447868,-3.23091744640594E-005
0.2558783767,-3.26314393803783E-005
0.2587787616,-0.000033276
0.262645941,-3.58540885383696E-005
0.2600678223,-3.10201147978364E-005
0.2584564979,-0.000028442
0.2639350023,-3.10201147978364E-005
0.2655463273,-3.13423797145343E-005
0.2639350033,-2.77974656256346E-005
0.2681244477,-3.00533200471735E-005
0.2687689781,-2.87642603782934E-005
0.2620014155,-1.97408426533709E-005
0.2671576546,-0.000023608
0.2694135096,-2.39302866064163E-005
0.2729584241,-2.61861410359645E-005
0.2755365444,-2.55416111994286E-005
0.282948638,-3.10201147978364E-005
0.2787591946,-2.52193462810174E-005
0.2774701353,-2.26412269302836E-005
0.2852044944,-2.71529357900526E-005
0.2745697525,-1.49068688411744E-005
0.2871380851,-2.52193462810174E-005
0.2877826154,-2.42525515252101E-005
0.2903607355,-2.45748164439082E-005
0.291005266,-2.29634918494605E-005
0.2913275315,-2.16744321721772E-005
0.2984173607,-2.55416111994286E-005
0.2919720629,-0.000017485
0.293905653,-0.000017485
0.2974505677,-1.94185777332332E-005
0.2939056547,-1.23287494657659E-005
0.2993841588,-1.6518193447655E-005
0.2984173646,-1.39400740761239E-005
0.3006732202,-0.000012651
0.3000286909,-1.03951599301283E-005
0.3038958708,-1.20064845434029E-005
0.3074407855,-1.39400740761239E-005
0.309052111,-1.29732793102004E-005
0.3084075818,-1.03951599301283E-005
0.3125970268,-1.16842196209426E-005
0.3132415577,-9.42836516099459E-006
0.3142083531,-8.46157039098276E-006
0.3177532683,-9.10610023775493E-006
0.3254876273,-1.45846039195878E-005
0.3283880125,-1.49068688411744E-005
0.3225872446,-7.17251069626582E-006
0.3187200667,-8.26823472674768E-008
0.3332219889,-1.29732793102004E-005
0.3303216057,-7.17251069626582E-006
0.3287102818,-3.62759652771371E-006
0.3283880177,-1.04947712493549E-006
0.3283880187,1.52864228415468E-006
0.3283880197,4.10676169957765E-006
0.3364446437,-0.000001694
0.3341887902,0.00000314
0.3367669105,2.81770199107327E-006
0.3390227661,3.46223184512707E-006
0.3457903309,-8.26823472674768E-008
0.3445012721,3.46223184512707E-006
0.3483684522,2.17317213741591E-006
0.350624308,0.00000314
0.3557805479,5.61847505004863E-007
0.3564250788,2.49543706419505E-006
0.361259054,5.61847505004863E-007
0.3544914913,0.000009263
0.3590032011,6.68488112135425E-006
0.3641594415,5.07355648199819E-006
0.3654485024,6.68488112135425E-006
0.3657707683,8.61847069186881E-006
0.3664152994,1.0874325195346E-005
0.3744719235,4.75129155442533E-006
0.3735051301,8.94073562063713E-006
0.3770500458,8.61847069186881E-006
0.3751164575,1.34524446339001E-005
0.3770500483,0.000014097
0.3786613741,1.50637692862599E-005
0.3799504353,1.69973588724138E-005
0.3899406495,9.90753040754155E-006
0.3873625309,1.44192394250143E-005
0.3844621482,2.08645380556281E-005
0.3950968921,1.28079147736597E-005
0.3921965091,1.86086835303166E-005
0.3905851856,2.24758627196058E-005
0.3976750161,1.95754783262712E-005
0.3970304875,2.2798127652706E-005
0.4015421978,2.08645380556281E-005
0.4054093782,1.95754783262712E-005
0.4073429694,2.08645380556281E-005
0.4102433553,2.08645380556281E-005
0.4099210918,2.40871873861234E-005
0.4157218622,2.15090679209147E-005
0.4144328041,2.60207769893044E-005
0.4205558394,2.2798127652706E-005
0.4221671654,2.37649224526165E-005
0.4282902005,0.00002022
0.4266788779,2.5698512055186E-005
0.4273234094,2.82766315309925E-005
0.4295792655,2.89211614009666E-005
0.4344132404,2.5698512055186E-005
0.4321573878,3.14992808849625E-005
0.4334464495,3.37551354388519E-005
0.4386026895,3.05324860776946E-005
0.4357023074,3.76223146858428E-005
0.4427921378,3.37551354388519E-005
0.4431144042,0.000036011
0.4444034653,0.0000373
0.4485929115,3.66555198727005E-005
0.450526503,3.79445796237639E-005
0.4524600943,3.89113744381486E-005
0.4556827454,3.85891094999168E-005
0.4608389863,3.66555198727005E-005
0.4650284325,0.000036011
0.466317494,3.76223146858428E-005
0.4643839063,4.27785537050289E-005
0.4640616431,4.60012031055504E-005
0.469540149,4.37453485240898E-005
0.4730850647,4.24562887655503E-005
0.4779190412,4.14894939477391E-005
0.467606565,5.50246214827702E-005
0.472118276,5.34132967665E-005
0.4856534054,4.27785537050289E-005
0.4833975526,4.79347927508799E-005
0.4843643499,5.08351772259517E-005
0.4943545647,4.34230835842986E-005
0.4946768309,4.50344082842978E-005
0.4946768338,4.95461174582031E-005
0.4949991008,5.24465019380042E-005
0.5004776065,4.95461174582031E-005
0.5027334637,5.11574421681517E-005
0.5043447903,5.24465019380042E-005
0.5040225273,5.5669151370018E-005
0.5062783839,5.63136812576889E-005
0.5114346249,5.40578266526913E-005
0.5117568923,5.72804760899894E-005
0.5182021934,5.40578266526913E-005
0.5172354003,5.76027410343015E-005
0.5175576679,6.11476554287416E-005
0.5227139091,5.88918008126106E-005
0.5243252361,6.05031255378866E-005
0.5275478878,6.05031255378866E-005
0.5323818641,5.85695358678741E-005
0.5336709264,6.08253904832609E-005
0.5330263986,6.43703048894115E-005
0.5381826398,6.21144502658227E-005
0.5385049069,6.46925698360657E-005
0.5433388837,6.34035100500901E-005
0.5417275609,0.000067593
0.5462392725,6.63038945709415E-005
0.5423720953,7.30714584867259E-005
0.5507509864,6.79152193084956E-005
0.5565517576,6.50148347828269E-005
0.5610634691,6.34035100500901E-005
0.5578408228,7.08156038428584E-005
0.5607412091,7.01710739455804E-005
0.5617080059,7.17823986895832E-005
0.5649306582,7.2104663638707E-005
0.5681533102,7.2104663638707E-005
0.5723427566,7.04933388941656E-005
0.5745986138,7.14601337405671E-005
0.5752431463,7.40382533357167E-005
0.5803993875,7.14601337405671E-005
0.5787880646,7.53273131358847E-005
0.5832997765,7.40382533357167E-005
0.5878114884,7.27491935372783E-005
0.5907118754,7.27491935372783E-005
0.5884560228,7.75831677903488E-005
0.5926454699,7.66163729377851E-005
0.5939345324,0.00007855
0.5942567992,8.04835523539064E-005
0.6016688955,7.59718430366182E-005
0.5997353083,8.08058173059569E-005
0.5974794563,8.62843215075194E-005
0.6016689027,8.43507317857125E-005
0.6068251438,8.14503472103847E-005
0.6123036508,7.91944925467934E-005
0.6110145938,8.37062018793193E-005
0.6200380139,7.62941079871475E-005
0.617782162,8.17726121627622E-005
0.6177821649,8.49952616925434E-005
0.6219716113,8.30616719733634E-005
0.6261610585,8.20948771152488E-005
0.6251942657,8.5317526646123E-005
0.6277723882,8.5962056553611E-005
0.630350509,0.000084673
0.6322841014,8.56397915998122E-005
0.632606369,8.82179112332738E-005
0.6358290215,8.82179112332738E-005
0.6387294076,8.69288514156651E-005
0.6380848803,9.04737659183217E-005
0.6400184718,9.04737659183217E-005
0.6425965939,9.04737659183217E-005
0.6406630066,9.49854753046285E-005
0.6435633936,9.46632103477451E-005
0.6483973697,9.17628257407722E-005
0.6525868169,9.04737659183217E-005
0.6519422885,9.27296206087686E-005
0.6551649409,9.24073556526594E-005
0.6616102425,8.85401761879506E-005
0.6577430649,9.43409453909725E-005
0.6619325115,9.24073556526594E-005
0.6648328976,9.11182958293264E-005
0.6648329005,9.40186804343105E-005
0.6667664915,9.33741505213185E-005
0.6738563227,8.85401761879506E-005
0.6728895304,9.20850906966606E-005
0.6716004725,9.53077402616226E-005
0.6728895346,9.62745351332698E-005
0.6777235105,9.30518855649883E-005
0.6796571019,9.27296206087686E-005
0.6774012501,9.78858599215675E-005
0.6806239016,9.65968000907074E-005
0.6819129621,9.59522701759432E-005
0.6828797599,9.78858599215675E-005
0.6854578805,9.62745351332698E-005
0.691580917,9.24073556526594E-005
0.6870692093,9.85303898376641E-005
0.6896473303,9.72413300059153E-005
0.6941590416,9.46632103477451E-005
0.6951258385,0.00009563
0.6960926344,0.00009563
0.6954481065,9.82081248795602E-005
0.7006043471,9.43409453909725E-005
0.6941590493,0.0001020753
0.699637555,9.78858599215675E-005
0.6996375573,0.0001001417
0.7018934134,9.91749197542055E-005
0.7031824736,9.82081248795602E-005
0.7070496544,0.00009563
0.71059457,9.30518855649883E-005
0.7105945717,9.46632103477451E-005
0.7125281625,9.36964154777592E-005
0.7131726937,9.43409453909725E-005
0.7134949597,9.49854753046285E-005
0.7138172264,9.62745351332698E-005
0.7147840216,0.00009563
0.7154285522,0.00009563
0.7189734678,9.30518855649883E-005
0.7183289393,9.49854753046285E-005
0.7147840244,9.82081248795602E-005
0.7118836412,0.0001023976
0.7202625308,9.46632103477451E-005
0.718973472,9.69190650482558E-005
0.7215515913,9.40186804343105E-005
0.7228406525,9.40186804343105E-005
0.7205847978,9.62745351332698E-005
0.7218738577,9.49854753046285E-005
0.7218738584,0.00009563
0.7257410396,9.33741505213185E-005
0.7267078341,9.20850906966606E-005
0.7276746286,0.000090796
0.7273523644,9.17628257407722E-005
0.7276746293,9.14405607849941E-005
0.7279968953,9.20850906966606E-005
0.7305750139,8.85401761879506E-005
0.7415320205,7.59718430366182E-005
0.7267078345,9.24073556526594E-005
0.7221961251,9.69190650482558E-005
0.7257410389,9.27296206087686E-005
0.7250965086,9.30518855649883E-005
0.7247742433,9.30518855649883E-005
0.7283191578,0.000089507
0.7263855667,9.01515009629846E-005
0.724129712,9.24073556526594E-005
0.7296082159,8.66065864615374E-005
0.7276746258,8.82179112332738E-005
0.7315418045,8.37062018793193E-005
0.730575009,8.40284668324612E-005
0.7299304777,8.33839369262867E-005
0.7312195361,8.08058173059569E-005
0.7286414161,8.30616719733634E-005
0.731219535,0.000079839
0.7328308591,7.75831677903488E-005
0.7296082081,7.95167574984084E-005
0.7254187617,8.17726121627622E-005
0.7279968809,7.88722275952871E-005
0.7209070499,8.40284668324612E-005
0.722196108,8.11280822581163E-005
0.7209070471,8.14503472103847E-005
0.7267078152,7.46827832355843E-005
0.7231628983,7.59718430366182E-005
0.7221961014,0.000075005
0.7238074258,7.30714584867259E-005
0.7225183636,7.2104663638707E-005
0.7221960969,7.08156038428584E-005
0.7202625052,7.08156038428584E-005
0.7183289138,7.11378687916589E-005
0.7154285262,7.11378687916589E-005
0.7157507898,6.9526544048733E-005
0.7131726678,6.98488089971029E-005
0.7122058706,6.85597492042683E-005
0.7086609535,6.9526544048733E-005
0.7060828312,6.9526544048733E-005
0.7080164186,6.5337099729695E-005
0.7086609465,0.000062759
0.711239064,5.82472709232438E-005
0.7102722665,5.66359462016831E-005
0.7031824348,6.08253904832609E-005
0.7054382868,5.59914163138005E-005
0.7018933694,5.66359462016831E-005
0.6993152469,5.63136812576889E-005
0.7028601587,5.01906473418672E-005
0.6941590014,5.50246214827702E-005
0.6925476738,5.37355617095429E-005
0.6915808757,5.14797071104569E-005
0.6867468987,5.34132967665E-005
0.6861023653,5.05129122838569E-005
0.6854578323,4.79347927508799E-005
0.6799793249,4.98683823999826E-005
0.6822351766,4.47121433440893E-005
0.6819129086,4.18117588869054E-005
0.6745008106,4.47121433440893E-005
0.6828796962,3.34328705022732E-005
0.6754675996,3.76223146858428E-005
0.6722449469,0.0000373
0.6716004131,3.37551354388519E-005
0.6722449384,2.82766315309925E-005
0.6645105766,3.2466075693155E-005
0.6609656579,0.000031177
0.6577430053,3.08547510133479E-005
0.6561316771,2.85988964659283E-005
0.6532312886,2.69875717922719E-005
0.6490418404,2.66653068578473E-005
0.6483973068,2.31203925859078E-005
0.6480750375,1.86086835303166E-005
0.6429187952,1.98977432584584E-005
0.6396961408,1.73196238037924E-005
0.6355066931,1.73196238037924E-005
0.633250835,0.000015386
0.6313172407,1.18411199840517E-005
0.6268055278,1.18411199840517E-005
0.6197156948,1.34524446339001E-005
0.6155262464,1.248564984369E-005
0.6155262419,7.0071460495241E-006
0.616493033,1.52864228415468E-006
0.6116590549,1.20637735767251E-006
0.6181043492,-1.03951599301283E-005
0.6074696021,-5.5611860756677E-006
0.6016688293,-4.91665622674236E-006
0.5961903216,-4.5943913021325E-006
0.5952235223,-9.42836516099459E-006
0.5926453989,-1.20064845434029E-005
0.5810438566,-7.17251069626582E-006
0.5778212037,-8.78383531441767E-006
0.5758876101,-1.23287494657659E-005
0.5681532465,-1.20064845434029E-005
0.5668641828,-1.61959285265524E-005
0.5629969996,-1.81295180517188E-005
0.5552626374,-1.61959285265524E-005
0.5539735734,-2.10299023329596E-005
0.5507509197,-2.42525515252101E-005
0.5501063859,-2.94087902129235E-005
0.5462392023,-3.23091744640594E-005
0.5375380456,-2.94087902129235E-005
0.5346376562,-3.42427639605544E-005
0.5307704732,-3.64986183688358E-005
0.5249697006,-3.71431481989255E-005
0.5233583721,-4.16548569990358E-005
0.5194911886,-4.48775061307458E-005
0.514979475,-4.81001552531469E-005
0.5030556693,-4.26216517395287E-005
0.500155281,-4.64888306931074E-005
0.4975771579,-0.000050356
0.4956435644,-0.00005519
0.4908095867,-5.74458376558446E-005
0.48275296,-5.61567780186907E-005
0.4798525715,-6.09907516504771E-005
0.4753408594,-6.26020761898464E-005
0.4717959408,-0.000067436
0.4640615794,-6.64692550750759E-005
0.4598721318,-6.9369639230455E-005
0.4531045648,-7.03364339472933E-005
0.4427920837,-6.80805796067438E-005
0.4382803711,-7.13032286633228E-005
0.4347354537,-7.48481426151951E-005
0.4270010924,-7.45258777109268E-005
0.423456175,-7.83930565562618E-005
0.4157218134,-7.90375863625717E-005
0.4153995454,-8.54828844061948E-005
0.410887833,-8.93500632154595E-005
0.4105655648,-9.64398909997814E-005
0.402508939,-9.57953612029447E-005
0.3931632534,-9.48285665070396E-005
0.3870402172,-9.61176261014063E-005
0.3802726508,-9.80512154903587E-005
0.3802726477,-0.0001057856
0.3725382873,-0.0001054633
0.3648039266,-0.0001057856
0.3548137116,-0.0001044965
0.3522355895,-0.000109975
0.3464348183,-0.0001128754
0.3351555439,-0.0001102973
0.3351555416,-0.0001170648
0.3270989166,-0.0001170648
0.3200090865,-0.0001177094
0.312919256,-0.000119643
0.305507161,-0.0001202875
0.3016399797,-0.0001251215
0.3000286531,-0.0001306
0.2926165582,-0.000131889
0.2884271122,-0.0001364007
0.282948607,-0.0001386566
0.276181042,-0.0001409124
0.2700580069,-0.0001434906
0.2674798859,-0.0001483245
0.2571674076,-0.0001463909
0.2549115513,-0.0001528362
0.2420209539,-0.0001486468
0.2387983033,-0.000153803
0.2326752688,-0.0001554144
0.2297748831,-0.0001608929
0.2204291999,-0.0001596038
0.2146284303,-0.0001628265
0.2043159526,-0.0001605706
0.2004487725,-0.0001654046
0.1952925331,-0.0001679827
0.1894917638,-0.0001708831
0.1766011673,-0.0001663714
0.1720894576,-0.0001708831
0.1666109536,-0.0001728167
0.1662886876,-0.000180551
0.1595211241,-0.0001821624
0.1553316796,-0.0001863518
0.1443746728,-0.0001834514
0.1392184339,-0.0001863518
0.1356735194,-0.0001905412
0.129228221,-0.0001931194
0.1208493335,-0.0001924748
0.1144040353,-0.0001937639
0.1073142073,-0.0001950529
0.1028024984,-0.0001989201
0.0979685247,-0.0002018205
0.0931345511,-0.0002043986
0.0847556639,-0.0002034318
0.0779881011,-0.0002053654
0.0750877169,-0.0002092326
0.0679978893,-0.0002105217
0.062841651,-0.0002130998
0.0541404992,-0.0002124552
0.0451170826,-0.0002101994
0.0502733202,-0.0002224455
0.0389940496,-0.0002189005
0.0348046061,-0.0002214787
0.0306151627,-0.0002259904
0.0248143949,-0.0002269572
0.0157909786,-0.0002240568
0.0106347406,-0.0002269572
0.0045117081,-0.000227924
0.0009667946,-0.0002317911
-0.0012890595,-0.0002359806
-0.0074120919,-0.0002369474
-0.014179654,-0.0002366251
-0.0170800377,-0.00024017
-0.0238475997,-0.00024017
-0.0235253348,-0.0002466153
-0.0306151616,-0.0002459708
-0.0344823398,-0.0002488712
-0.0425389613,-0.0002466153
-0.0528514367,-0.0002427481
-0.0554295554,-0.0002469376
-0.0563963498,-0.000251127
-0.0609080576,-0.0002527384
-0.0737986519,-0.0002453263
-0.0831443326,-0.0002424259
-0.0757322405,-0.0002549942
-0.0818552726,-0.0002546719
-0.0847556561,-0.0002566055
-0.091200953,-0.0002562833
-0.0992575742,-0.0002533829
-0.0976462496,-0.0002604727
-0.0992575736,-0.0002633731
-0.1018356922,-0.000265629
-0.1037692811,-0.0002682071
-0.1121481672,-0.0002646622
-0.1137594911,-0.0002678848
-0.120204788,-0.0002665957
-0.1234274363,-0.0002672403
-0.1243942306,-0.0002701407
-0.1276168789,-0.0002714297
-0.1376070892,-0.0002653067
-0.1405074726,-0.0002659512
-0.138896148,-0.0002720742
-0.1488863583,-0.000265629
-0.1492086229,-0.0002685293
-0.1504976821,-0.0002704629
-0.1572652438,-0.0002675625
-0.158554303,-0.0002691739
-0.1614546865,-0.0002691739
-0.1588765673,-0.0002749746
-0.1720894263,-0.0002640176
-0.1672554532,-0.000271752
-0.1662886584,-0.0002752969
-0.1698335716,-0.0002740078
-0.1711226309,-0.0002749746
-0.1708003659,-0.000276586
-0.1759566034,-0.0002740078
-0.1801460463,-0.000271752
-0.1778901922,-0.0002752969
-0.1795015163,-0.0002756192
-0.1811128404,-0.0002759414
-0.1820796349,-0.0002759414
-0.1830464294,-0.0002759414
-0.1917475804,-0.0002685293
-0.1872358724,-0.0002733633
-0.1898139911,-0.0002720742
-0.1875581371,-0.0002746524
-0.1933589044,-0.0002698184
-0.1930366395,-0.0002704629
-0.1923921098,-0.0002707852
-0.1956147584,-0.0002672403
-0.1975483476,-0.0002653067
-0.1975483476,-0.0002649844
-0.1975483476,-0.0002649844
-0.1994819368,-0.0002627286
-0.1998042018,-0.0002611172
-0.1975483479,-0.0002627286
-0.1988374074,-0.0002604727
-0.1923921104,-0.0002653067
-0.1994819374,-0.0002569278
-0.1978706133,-0.0002566055
-0.1917475811,-0.0002617618
-0.1946479649,-0.0002575723
-0.1907807869,-0.0002585391
-0.191103052,-0.0002562833
-0.1862690792,-0.0002591837
-0.1923921118,-0.0002508048
-0.1885249338,-0.0002514493
-0.1894917286,-0.0002485489
-0.184657756,-0.0002504825
-0.1891694644,-0.0002427481
-0.1904585241,-0.0002385587
-0.1927143785,-0.0002327579
