Frequency21,Magnitude21,Phase21,Nyquist_Real21,Nyquist_Imag21
0,2092.9425882182,-3.1415926536,-2092.9425882182,-5.9989668976217E-013
39.839050237,15877.7534014376,-1.6189760367,-764.6896296687,-15859.3285749158
79.6781004741,19174.1241965172,-0.5029279576,16799.8895049725,-9241.7937287185
119.5171507111,31281.4674065509,-0.6126028371,25593.0627641494,-17986.8102079666
159.3562009482,23834.2686383707,-0.7232359509,17867.7899372726,-15773.8531844164
199.1952511852,18542.7904831305,-0.4701133657,16531.2118438325,-8399.6496281457
239.0343014223,21164.3218300911,-0.4129598564,19385.1850385863,-8493.7105876902
278.8733516593,19865.3010390054,-0.332746624,18775.6644823228,-6488.8064093139
318.7124018963,17674.6294470827,-0.3191011075,16782.3751991772,-5544.764085669
358.5514521334,17802.5270354999,-0.3300817194,16841.4729193242,-5770.1610685817
398.3905023704,17037.3566346145,-0.1999675553,16697.8536222991,-3384.2584864806
438.2295526075,21961.508564385,-0.2286853127,21389.7466762221,-4978.6138181829
478.0686028445,19151.0186695454,-0.4396078239,17330.1137098114,-8150.3788185753
517.9076530816,16498.695200189,-0.3317687003,15598.9838836206,-5373.8854758252
557.7467033186,17950.5869070013,-0.222842552,17506.7259474927,-3967.1295548786
597.5857535557,19148.5462224892,-0.3659690473,17880.4801241338,-6852.3903103413
637.4248037927,16991.3075530382,-0.3459547561,15984.6087449581,-5761.6677822086
677.2638540297,17154.1480377057,-0.2674959662,16544.0741204811,-4534.137888899
717.1029042668,18066.9431170219,-0.3681917186,16856.0915921922,-6502.8155309322
756.9419545038,17052.0482456453,-0.2842260796,16367.9023141698,-4781.6444039274
796.7810047409,18409.5404724067,-0.30638995,17552.1831137628,-5552.6613750632
836.6200549779,16691.7762826942,-0.3494338554,15683.0370263844,-5714.6955387464
876.459105215,17168.8444115576,-0.275734789,16520.2983209288,-4674.287305653
916.298155452,18325.7039017883,-0.3524038118,17199.5112899199,-6325.2063115711
956.137205689,14502.634875521,-0.3532628449,13607.0811047942,-5017.3461252172
995.9762559261,14858.6994744105,-0.246231624,14410.5291676602,-3621.8226321651
1035.8153061631,16499.3812538094,-0.2105091031,16135.1518094685,-3447.6742659308
1075.6543564002,14560.1015188506,-0.2992053448,13913.2111196834,-4291.7493610826
1115.4934066372,14392.1867839482,-0.2771843086,13842.8335576351,-3938.4006296547
1155.3324568743,14395.9376530498,-0.3155662636,13685.0776056132,-4467.8486812829
1195.1715071113,14424.198296877,-0.3035266688,13764.8443703462,-4311.2128186599
1235.0105573484,15105.1183536561,-0.3334897166,14272.9134433165,-4944.5467251865
1274.8496075854,15027.1817665135,-0.3171074034,14277.9469175717,-4685.7682041306
1314.6886578224,14551.7570615094,-0.2715417186,14018.5592379581,-3903.0283715403
1354.5277080595,15435.066425341,-0.3141936225,14679.4566214618,-4770.2021815968
1394.3667582965,16149.0724550091,-0.3586038196,15121.7936163203,-5667.7948959492
1434.2058085336,14071.5821451669,-0.2801176338,13523.1130030113,-3890.3520118322
1474.0448587706,14162.0778270297,-0.2573945009,13695.5297035488,-3605.1233707127
1513.8839090077,15641.8098758318,-0.2577685962,15125.0235961549,-3987.4650352607
1553.7229592447,13787.0307978985,-0.3007385507,13168.2408949681,-4084.0727165771
1593.5620094818,12470.3542310399,-0.2839703066,11970.9246476492,-3493.8084847227
1633.4010597188,14035.2324130947,-0.3199941155,13322.7656874729,-4414.9363898337
1673.2401099558,13684.4454638654,-0.291093614,13108.7487966761,-3927.4358860647
1713.0791601929,12530.8653944953,-0.2436645399,12160.7084434398,-3023.2032165589
1752.9182104299,13735.102356809,-0.3392973294,12952.0471997959,-4571.3794511372
1792.757260667,14163.7936269372,-0.2697192095,13651.7123481216,-3774.0959010881
1832.596310904,14274.1371563353,-0.2261439849,13910.6924869373,-3200.5665266853
1872.4353611411,13985.6189527423,-0.3914071764,12927.9306758382,-5335.3674598874
1912.2744113781,12952.5109788051,-0.2774652197,12457.1143612449,-3547.9349552849
1952.1134616151,14503.6376970569,-0.2203207613,14153.0470573824,-3169.6633005745
1991.9525118522,13681.6408308776,-0.3916169445,12645.8463186314,-5222.0557935255
2031.7915620892,13500.0379532038,-0.3190688271,12818.6629894947,-4234.7259533177
2071.6306123263,13960.688274435,-0.2950458669,13357.4302649215,-4059.5410841259
2111.4696625633,12602.5603723247,-0.3550251593,11816.6362684911,-4380.8258623541
2151.3087128004,13564.0602946771,-0.334587184,12811.878221396,-4454.1562745098
2191.1477630374,13356.5493494423,-0.3114547221,12713.9495563163,-4093.0303203777
2230.9868132744,12401.1978204046,-0.3408339429,11687.8341513461,-4145.3878264206
2270.8258635115,13841.7663303482,-0.3094861273,13184.1468556469,-4215.775946691
2310.6649137485,13540.9302191251,-0.3084597653,12901.8294837613,-4110.9107471658
2350.5039639856,12995.5609213446,-0.3854787019,12041.9277604671,-4886.3666943928
2390.3430142226,12468.4202203438,-0.3558307901,11687.3658429291,-4343.6139843005
2430.1820644597,13552.0587333853,-0.3047274063,12927.6987882865,-4066.0668898165
2470.0211146967,13289.7421006043,-0.3932070837,12275.5355568183,-5092.000775124
2509.8601649338,12424.1003937095,-0.3761334434,11555.5548316631,-4563.7071691116
2549.6992151708,13252.2487695902,-0.3318895909,12529.0516373149,-4317.9813015575
2589.5382654078,12842.3650271863,-0.3866360191,11894.3772233065,-4842.5334238583
2629.3773156449,13110.2452199097,-0.3239223666,12428.4373978544,-4172.8256102766
2669.2163658819,13233.3236679859,-0.3189731005,12565.8076377634,-4149.8594810428
2709.055416119,12166.1232411088,-0.3635679426,11370.872125368,-4326.4098079559
2748.894466356,13387.4102944357,-0.3129652771,12737.1141746673,-4121.732268483
2788.7335165931,12857.4049181455,-0.3057860692,12260.9577043947,-3870.6301037682
2828.5725668301,12520.4793239503,-0.4185171896,11439.8689023929,-5088.3987655775
2868.4116170671,13139.7614520886,-0.3635190124,12281.0960955709,-4672.0455594042
2908.2506673042,13559.7506033475,-0.3280705619,12836.5521957952,-4369.1834648602
2948.0897175412,12857.7309909397,-0.3881129217,11901.4354213747,-4865.9101046176
2987.9287677783,13065.0734653279,-0.3990671331,12038.4705365492,-5076.5511713222
3027.7678180153,13154.5343858387,-0.3285631782,12450.8583375049,-4244.7498828079
3067.6068682524,12702.6394934615,-0.38398296,11777.6321670011,-4758.6164627617
3107.4459184894,12961.083379659,-0.4077711746,11898.3649422097,-5139.902146585
3147.2849687264,12955.3337563069,-0.3948196765,11958.6273229044,-4983.1621776929
3187.1240189635,12206.9732869731,-0.4344677894,11072.8745820999,-5138.2531387585
3226.9630692005,12249.5075144264,-0.3912430402,11323.8827387433,-4671.2004950741
3266.8021194376,12533.3275840167,-0.4311468045,11386.3662141237,-5237.8397041278
3306.6411696746,12253.5237501818,-0.490148375,10810.8308669717,-5768.4296183623
3346.4802199117,12644.0850749741,-0.4008958213,11641.5580155896,-4934.2693838952
3386.3192701487,12691.2852200543,-0.4801878518,11256.0044361104,-5862.6857898945
3426.1583203858,11900.4829580982,-0.4976704776,10456.9188193686,-5681.051261969
3465.9973706228,12355.650622761,-0.4009383122,11375.788129719,-4822.1931462231
3505.8364208598,12207.2598289571,-0.4103172478,11193.9879103152,-4869.4791503183
3545.6754710969,11549.9120237846,-0.4733005626,10280.2146619171,-5264.7558596832
3585.5145213339,12004.8187497424,-0.3708741429,11188.6217578647,-4350.9098328515
3625.353571571,11351.5722856379,-0.4063825174,10427.063699937,-4487.1523211852
3665.192621808,11237.6461143314,-0.4676478612,10031.0721009601,-5065.795366602
3705.0316720451,11912.2610773729,-0.417802399,10887.6020851892,-4833.4340597632
3744.8707222821,11524.8992046176,-0.4736162369,10256.2926753453,-5256.59226441
3784.7097725191,11170.1139744793,-0.4851825964,9880.9689581205,-5209.4048269949
3824.5488227562,12605.9446341905,-0.3822652166,11696.0732476557,-4702.3090823285
3864.3878729932,12924.9985105335,-0.4391715447,11698.4707535815,-5495.5771785038
3904.2269232303,11716.5677802843,-0.5055043715,10251.1806833785,-5673.7337923737
3944.0659734673,11842.4442274874,-0.3388216703,11169.1653748838,-3936.1440661703
3983.9050237044,12203.6492885785,-0.4070866148,11206.3454866764,-4831.8605931744
4023.7440739414,11803.8140523264,-0.469402346,10527.0993391569,-5339.494890476
4063.5831241785,11871.7231690456,-0.3787409135,11030.3850736581,-4389.580404694
4103.4221744155,11302.3605103452,-0.4654860035,10099.8291926821,-5073.1453147389
4143.2612246525,11264.7964453796,-0.4965337771,9904.4492903138,-5366.3323798885
4183.1002748896,12411.9964078027,-0.4210353016,11328.0107875792,-5072.8519024111
4222.9393251266,11750.077659481,-0.4839774095,10400.5956543096,-5467.351739132
4262.7783753637,11342.3007424616,-0.5167397023,9861.3880481979,-5603.6427344456
4302.6174256007,11713.0495695964,-0.4018305714,10780.065266171,-4581.01769009
4342.4564758378,11168.3716415384,-0.4112516707,10237.165958049,-4464.6341698825
4382.2955260748,11426.4354383233,-0.4626970821,10224.9671816801,-5100.3404748835
4422.1345763118,11225.9730697341,-0.4657591776,10030.1922469625,-5041.5984420985
4461.9736265489,10762.5802504826,-0.4799916705,9546.3954346955,-4969.8559186866
