V_33,I_33
0.1066696927,-3.29537042966027E-005
0.1134372558,-4.03657973437362E-005
0.1098923417,-3.74654131138292E-005
0.112792726,-4.00435324296773E-005
0.1098923417,-3.74654131138292E-005
0.1131149908,-4.10103271715732E-005
0.1069919575,-3.42427639605544E-005
0.1092478119,-3.68208832839277E-005
0.1073142224,-3.48872937919635E-005
0.1076364873,-3.48872937919635E-005
0.1053806329,-3.29537042966027E-005
0.1102146067,-3.74654131138292E-005
0.1082810171,-3.58540885383696E-005
0.1018357188,-2.94087902129235E-005
0.1118259313,-3.87544727725041E-005
0.1131149909,-4.03657973437362E-005
0.1105368716,-3.74654131138292E-005
0.1076364873,-3.52095587075265E-005
0.1102146067,-3.74654131138292E-005
0.1073142223,-3.52095587075265E-005
0.1098923417,-3.71431481989255E-005
0.108925547,-3.58540885383696E-005
0.1089255469,-3.68208832839277E-005
0.1121481961,-3.97212675155246E-005
0.1082810172,-3.55318236229952E-005
0.112470461,-4.00435324296773E-005
0.1111814014,-3.81099429433545E-005
0.108603282,-3.64986183688358E-005
0.108925547,-3.64986183688358E-005
0.1121481961,-3.97212675155246E-005
0.1073142223,-3.52095587075265E-005
0.1118259313,-3.87544727725041E-005
0.1082810172,-3.52095587075265E-005
0.1098923417,-3.74654131138292E-005
0.1057028978,-3.35982341287675E-005
0.1060251627,-3.39204990447082E-005
0.1069919575,-0.000034565
0.0976462749,-2.52193462810174E-005
0.112470461,-4.00435324296773E-005
0.1102146067,-3.71431481989255E-005
0.1131149909,-4.03657973437362E-005
0.1134372558,-4.10103271715732E-005
0.1047361031,-3.23091744640594E-005
0.1102146067,-3.71431481989255E-005
0.1121481961,-0.000039399
0.1098923417,-3.71431481989255E-005
0.1079587522,-3.58540885383696E-005
0.1082810171,-3.58540885383696E-005
0.1076364873,-3.55318236229952E-005
0.1079587522,-3.55318236229952E-005
0.1073142224,-3.48872937919635E-005
0.1098923417,-3.74654131138292E-005
0.1111814014,-3.87544727725041E-005
0.1098923417,-3.74654131138292E-005
0.1105368715,-3.81099429433545E-005
0.108925547,-3.61763534536498E-005
0.1082810172,-3.55318236229952E-005
0.1047361031,-3.16646446311374E-005
0.1066696926,-3.39204990447082E-005
0.1086032821,-3.55318236229952E-005
0.1079587522,-3.52095587075265E-005
0.1060251628,-0.000033276
0.1063474277,-3.29537042966027E-005
0.112792726,-0.000039399
0.1079587524,-3.35982341287675E-005
0.1079587524,-3.35982341287675E-005
0.1098923419,-3.58540885383696E-005
0.1127927262,-3.81099429433545E-005
0.1131149911,-3.81099429433545E-005
0.1156931105,-4.03657973437362E-005
0.1134372561,-3.77876780286388E-005
0.1092478122,-0.000033276
0.1144040509,-3.87544727725041E-005
0.110214607,-3.42427639605544E-005
0.1079587526,-3.19869095476458E-005
0.1153708457,-3.87544727725041E-005
0.110859137,-0.000033276
0.1089255475,-3.10201147978364E-005
0.1089255476,-3.06978498810437E-005
0.1060251633,-2.77974656256346E-005
0.1124704617,-3.35982341287675E-005
0.1131149917,-0.000033276
0.1140817864,-3.39204990447082E-005
0.1127927268,-3.26314393803783E-005
0.116337641,-3.52095587075265E-005
0.1166599059,-3.52095587075265E-005
0.1169821709,-3.48872937919635E-005
0.1140817867,-3.16646446311374E-005
0.1140817867,-3.13423797145343E-005
0.1086032832,-2.55416111994286E-005
0.1160153764,-3.19869095476458E-005
0.1137595221,-2.87642603782934E-005
0.1211716151,-3.61763534536498E-005
0.1169821714,-3.06978498810437E-005
0.1182712311,-3.16646446311374E-005
0.1182712312,-3.10201147978364E-005
0.1185934962,-3.00533200471735E-005
0.1202048209,-3.10201147978364E-005
0.1173044366,-2.81197305432827E-005
0.1202048209,-3.10201147978364E-005
0.1182712315,-2.77974656256346E-005
0.1202048212,-0.000028442
0.1227829407,-3.00533200471735E-005
0.1218161459,-2.9086525295656E-005
0.117948967,-2.42525515252101E-005
0.1202048216,-2.52193462810174E-005
0.1205270866,-2.45748164439082E-005
0.1250387956,-2.81197305432827E-005
0.1218161464,-2.48970813625106E-005
0.1227829413,-2.48970813625106E-005
0.1266501204,-2.77974656256346E-005
0.132773154,-3.26314393803783E-005
0.1279391803,-2.71529357900526E-005
0.1301950349,-2.81197305432827E-005
0.1272946507,-2.45748164439082E-005
0.1301950351,-2.65084059540892E-005
0.1301950353,-2.55416111994286E-005
0.1337399495,-2.81197305432827E-005
0.1295505056,-2.32857567685416E-005
0.1279391813,-1.97408426533709E-005
0.1318063604,-2.29634918494605E-005
0.1334176852,-2.32857567685416E-005
0.1334176852,-2.32857567685416E-005
0.1363180697,-2.39302866064163E-005
0.1321286259,-0.000018774
0.1324508909,-1.8451782972242E-005
0.1363180701,-2.13521672526165E-005
0.1369626002,-2.03853724933576E-005
0.1356735406,-1.8451782972242E-005
0.1359958057,-0.000017485
0.1340622164,-1.3295544232272E-005
0.1392184553,-0.000017485
0.145019224,-0.000022319
